"tITI","period","seq_tr","position","mean_prob","sem_upper","sem_lower","time"
"0.128","forward",4,4,10.0936458668858,11.8495040304474,8.33778770332411,3.75
"0.128","backward",5,4,6.29157657632631,7.17611506474383,5.40703808790879,5
"0.128","backward",6,4,6.24563137064214,6.9356990781352,5.55556366314908,6.25
"0.128","backward",7,4,7.84261284743086,8.64207545713429,7.04315023772743,7.5
"0.128","backward",8,4,7.80409542507119,8.56361445937219,7.0445763907702,8.75
"0.128","excluded",9,4,7.26638409723659,8.01333041391888,6.51943778055429,10
"0.128","excluded",10,4,7.29187760124286,7.90522543950104,6.67852976298469,11.25
"0.128","excluded",11,4,6.93540184565436,7.5600328103416,6.31077088096712,12.5
"0.128","excluded",12,4,7.64213687828076,8.45685778657239,6.82741596998913,13.75
"0.128","excluded",13,4,8.42129893761129,9.20048584583454,7.64211202938804,15
"0.128","excluded",1,5,9.01078522949162,9.62749839441275,8.39407206457049,0
"0.128","forward",2,5,6.84749418397206,7.25313798820497,6.44185037973914,1.25
"0.128","forward",3,5,6.94515786527242,7.57345404642809,6.31686168411675,2.5
"0.128","forward",4,5,8.33706875346117,8.94317093000505,7.73096657691728,3.75
"0.128","backward",5,5,10.530460207369,11.1492332871871,9.91168712755079,5
"0.128","backward",6,5,9.86683544282732,10.5781932590575,9.15547762659717,6.25
"0.128","backward",7,5,10.4090904197574,11.1447099196082,9.67347091990654,7.5
"0.128","backward",8,5,6.35157269022925,6.91043896243181,5.79270641802669,8.75
"0.128","excluded",9,5,6.50005572075311,7.03750947511305,5.96260196639317,10
"0.128","excluded",10,5,6.21913557703014,6.71879303496193,5.71947811909836,11.25
"0.128","excluded",11,5,6.78337209187077,7.45902861661614,6.1077155671254,12.5
"0.128","excluded",12,5,5.7390666495981,6.22408238843008,5.25405091076612,13.75
"0.128","excluded",13,5,6.4599051683677,7.01652338961792,5.90328694711748,15
"0.512","excluded",1,5,8.33462507643615,8.96560337912303,7.70364677374927,0
"0.512","forward",2,5,7.08846072215756,7.77313033218841,6.40379111212671,1.25
"0.512","forward",3,5,5.32539652742264,5.82156019467971,4.82923286016557,2.5
"0.512","forward",4,5,3.83751272238302,4.20518379497341,3.46984164979262,3.75
"0.512","forward",5,5,7.01913921209318,7.7385610060236,6.29971741816276,5
"0.512","backward",6,5,11.6020366878753,12.333495342284,10.8705780334666,6.25
"0.512","backward",7,5,12.4046166098148,13.2368032355022,11.5724299841273,7.5
"0.512","backward",8,5,9.9180016788734,10.5746056060257,9.26139775172111,8.75
"0.512","backward",9,5,7.29569242891888,8.00214467510297,6.58924018273479,10
"0.512","excluded",10,5,6.43196374402336,6.9624105389797,5.90151694906701,11.25
"0.512","excluded",11,5,6.00067210078836,6.43895952577026,5.56238467580646,12.5
"0.512","excluded",12,5,7.10846971631862,7.65366588707643,6.56327354556081,13.75
"0.512","excluded",13,5,7.63341277289471,8.22385613742316,7.04296940836626,15
"0.512","excluded",1,4,8.17918830569653,8.95598330595246,7.40239330544061,0
"0.512","forward",2,4,7.9427448210788,8.81206781459146,7.07342182756615,1.25
"0.512","forward",3,4,5.11138492345711,5.7807150850872,4.44205476182703,2.5
"0.512","forward",4,4,6.33472015447896,7.50795267909753,5.16148762986039,3.75
"0.512","forward",5,4,10.5406723689261,11.8368522007066,9.24449253714561,5
"0.512","backward",6,4,8.47010498932928,9.34392657809067,7.59628340056789,6.25
"0.512","backward",7,4,8.55571836579711,9.35348613182014,7.75795059977408,7.5
"0.512","backward",8,4,8.14741951330079,9.18792383067764,7.10691519592393,8.75
"0.512","backward",9,4,7.28056055992935,7.88029904067709,6.68082207918161,10
"0.512","excluded",10,4,6.92298253940666,7.61290418147217,6.23306089734114,11.25
"0.512","excluded",11,4,7.41208398862839,8.02841128845543,6.79575668880136,12.5
"0.512","excluded",12,4,7.30463985765031,8.05100911521517,6.55827060008546,13.75
"0.512","excluded",13,4,7.7977796123206,8.59470145678386,7.00085776785734,15
"2.048","excluded",1,4,8.62537500491181,9.73169522864334,7.51905478118027,0
"2.048","forward",2,4,7.96546851796451,8.8197873881113,7.11114964781773,1.25
"2.048","forward",3,4,5.32435153806312,6.07024697456266,4.57845610156359,2.5
"2.048","forward",4,4,3.9038266923331,4.43066376212481,3.37698962254139,3.75
"2.048","forward",5,4,3.3120795195574,3.76087988061874,2.86327915849607,5
"2.048","forward",6,4,3.15773743530211,3.65717646413651,2.6582984064677,6.25
"2.048","forward",7,4,3.09281223345094,3.55797643320325,2.62764803369862,7.5
"2.048","backward",8,4,12.6425213712453,13.9446189421512,11.3404238003393,8.75
"2.048","backward",9,4,20.1528190449813,21.3067254488576,18.9989126411051,10
"2.048","backward",10,4,12.1976628927876,13.0923172928933,11.3030084926818,11.25
"2.048","backward",11,4,7.11307291663101,7.88332870129166,6.34281713197037,12.5
"2.048","backward",12,4,5.98141679272501,6.64296205106619,5.31987153438383,13.75
"2.048","backward",13,4,6.53085604004683,7.26364890328672,5.79806317680694,15
"2.048","excluded",1,5,7.9399958731756,8.66354607532077,7.21644567103042,0
"2.048","forward",2,5,6.10030585376208,6.79260014128264,5.40801156624152,1.25
"2.048","forward",3,5,4.88374028370163,5.36741561370524,4.40006495369802,2.5
"2.048","forward",4,5,3.52955582946737,3.89093583713657,3.16817582179818,3.75
"2.048","forward",5,5,3.2302421267933,3.64099205703656,2.81949219655004,5
"2.048","forward",6,5,3.15062096596159,3.49102993943802,2.81021199248515,6.25
"2.048","forward",7,5,3.46870104434045,3.82479674029479,3.11260534838611,7.5
"2.048","backward",8,5,3.63648631640967,4.14926422885826,3.12370840396107,8.75
"2.048","backward",9,5,4.9323665071745,5.38371799238615,4.48101502196286,10
"2.048","backward",10,5,16.0825098698665,17.0253332331314,15.1396865066016,11.25
"2.048","backward",11,5,21.6038041849889,22.4821602350675,20.7254481349102,12.5
"2.048","backward",12,5,13.6792437316406,14.6903366332499,12.6681508300313,13.75
"2.048","backward",13,5,7.76242741271784,8.47076552100318,7.0540893044325,15
"0.032","excluded",1,2,9.01087266421525,9.84981004800877,8.17193528042174,0
"0.032","forward",2,2,6.5708890607004,7.21837932593132,5.92339879546948,1.25
"0.032","forward",3,2,10.5177964154332,11.3765318610266,9.65906096983981,2.5
"0.032","forward",4,2,8.04178093603605,8.86788997243599,7.2156718996361,3.75
"0.032","backward",5,2,7.87072260678013,8.50908976777609,7.23235544578416,5
"0.032","backward",6,2,7.04006221217727,7.72416578773747,6.35595863661707,6.25
"0.032","backward",7,2,7.85665854173336,8.5778553280043,7.13546175546243,7.5
"0.032","excluded",8,2,6.79853966766718,7.33600705134884,6.26107228398552,8.75
