"period","tITI","seq_tr","tvalue","pvalue","df","mean_position","sd_position","sem_upper","sem_lower","pvalue_adjust","pvalue_rounded","pvalue_adjust_rounded","significance"
"excluded","0.064",9,-1.24300303648256,0.222129521885721,35,2.91851851851852,0.393312706839675,2.98407063632513,2.85296640071191,NA,"p = .22","p = NA",NA
"excluded","0.064",10,1.41105432534169,0.167056139267217,35,3.08518518518519,0.362219300796477,3.14555506865126,3.02481530171911,NA,"p = .17","p = NA",NA
"excluded","0.064",11,-0.791351137734866,0.43406945955176,35,2.9462962962963,0.407179830617973,3.01415960139929,2.8784329911933,NA,"p = .43","p = NA",NA
"excluded","0.064",12,0.18541965983572,0.853970265683574,35,3.01296296296296,0.419468883972115,3.08287444362498,2.94305148230094,NA,"p = .85","p = NA",NA
"excluded","0.064",13,-0.763508155510454,0.450276678415135,35,2.94444444444444,0.436581234827122,3.0172079835823,2.87168090530659,NA,"p = .45","p = NA",NA
"excluded","0.128",1,0.0340415229133026,0.973037441949729,35,3.00185185185185,0.326398767158857,3.05625164637833,2.94745205732538,NA,"p = .97","p = NA",NA
"excluded","0.128",9,0.26359636973362,0.793636737303309,35,3.01851851851852,0.421519883689582,3.08877183246678,2.94826520457026,NA,"p = .79","p = NA",NA
"excluded","0.128",10,0.963885404279986,0.34171624156942,35,3.05925925925926,0.368877414241118,3.12073882829945,2.99777969021907,NA,"p = .34","p = NA",NA
"excluded","0.128",11,-0.0260473704023144,0.979367504638897,35,2.99814814814815,0.426573237125108,3.069243687669,2.9270526086273,NA,"p = .98","p = NA",NA
"excluded","0.128",12,-0.957756144133934,0.344755208860829,35,2.93148148148148,0.429244034224248,3.00302215385219,2.85994080911077,NA,"p = .34","p = NA",NA
"excluded","0.128",13,-1.77780768552534,0.0841255299241152,35,2.87962962962963,0.406243165727347,2.94733682391752,2.81192243534174,NA,"p = .08","p = NA",NA
"excluded","0.512",1,0.380444414559919,0.705914786077125,35,3.02592592592593,0.40887853679097,3.09407234872442,2.95777950312743,NA,"p = .71","p = NA",NA
"excluded","0.512",10,0.187364126630055,0.852457112033908,35,3.01111111111111,0.355813398571744,3.0704133442064,2.95180887801582,NA,"p = .85","p = NA",NA
"excluded","0.512",11,-0.206827659601502,0.837343034949576,35,2.98703703703704,0.376051142906292,3.04971222752142,2.92436184655265,NA,"p = .84","p = NA",NA
"excluded","0.512",12,1.26579542059352,0.213947556013005,35,3.08333333333333,0.39500853918839,3.14916808986473,3.01749857680193,NA,"p = .21","p = NA",NA
"excluded","0.512",13,0.339310446269147,0.736403475460699,35,3.02222222222222,0.392953812060271,3.08771452423227,2.95672992021218,NA,"p = .74","p = NA",NA
"excluded","2.048",1,0.865135262389722,0.392855862152836,35,3.05740740740741,0.398139411741237,3.12376397603095,2.99105083878387,NA,"p = .39","p = NA",NA
"forward","0.032",2,-0.756889262661459,0.454181508883009,35,2.95185185185185,0.381679200829282,3.01546505199007,2.88823865171364,0.506087967041067,"p = .45","p = .51",""
"forward","0.032",3,-1.76025023222322,0.0871029723010404,35,2.85555555555556,0.492354240778627,2.93761459568533,2.77349651542578,0.125815404434836,"p = .09","p = .13",""
"forward","0.032",4,1.43918753726665,0.158981445305971,35,3.12777777777778,0.532707966692613,3.21656243889321,3.03899311666234,0.193758636466652,"p = .16","p = .19",""
"forward","0.064",2,-1.17440037583792,0.248163606662432,35,2.92962962962963,0.359521531931536,2.98954988495155,2.86970937430771,0.293284262419237,"p = .25","p = .29",""
"forward","0.064",3,-1.61792496028618,0.114656999816377,35,2.87037037037037,0.480725495229521,2.95049128624196,2.79024945449878,0.159700821172811,"p = .11","p = .16",""
"forward","0.064",4,0.646822063800318,0.521966731612083,35,3.05925925925926,0.549696084061412,3.15087527326949,2.96764324524902,0.55018114953706,"p = .52","p = .55",""
"forward","0.128",2,-1.96498682754112,0.0573925130415825,35,2.87592592592593,0.378854674245324,2.93906837163348,2.81278348021837,0.0874475568126369,"p = .06","p = .09",""
"forward","0.128",3,-1.50120074056497,0.142272201165547,35,2.86481481481481,0.540308227403255,2.95486618604869,2.77476344358094,0.179619240702051,"p = .14","p = .18",""
"forward","0.128",4,-0.487675938016241,0.628820369566968,35,2.95925925925926,0.501243603362493,3.04279985981967,2.87571865869884,0.628820369566968,"p = .63","p = .63",""
"forward","0.512",2,-2.1217811232079,0.041009542989887,35,2.86111111111111,0.392751789625418,2.92656974271535,2.79565247950687,0.0714020439199331,"p = .04","p = .07",""
"forward","0.512",3,-7.07246733049607,3.08111110307919e-08,35,2.47222222222222,0.447745676111105,2.54684650157407,2.39759794287037,1.33514814466765e-07,"p < .001","p < .001","***"
"forward","0.512",4,-5.1543503426475,1.00583543266016e-05,35,2.6037037037037,0.461314737980431,2.68058949336711,2.5268179140403,3.56614380670421e-05,"p < .001","p < .001","***"
"forward","0.512",5,1.12263014331091,0.269236923199492,35,3.09259259259259,0.494869622792317,3.17507086305798,3.01011432212721,0.308830588375888,"p = .27","p = .31",""
"forward","2.048",2,-1.54674014084175,0.130921315596475,35,2.9,0.387912606750787,2.96465210112513,2.83534789887487,0.176066596836639,"p = .13","p = .18",""
"forward","2.048",3,-7.90967087132732,2.66470742445026e-09,35,2.32407407407407,0.51273379405166,2.40952970641602,2.23861844173213,1.484622707908e-08,"p < .001","p < .001","***"
"forward","2.048",4,-16.009720120046,1.11673905139819e-17,35,1.95740740740741,0.390734847870507,2.02252988205249,1.89228493276232,3.02982170903225e-16,"p < .001","p < .001","***"
"forward","2.048",5,-10.9045535102094,8.38479828625979e-13,35,2.20555555555556,0.437126257595406,2.27840993182146,2.13270117928965,8.1751783291033e-12,"p < .001","p < .001","***"
"forward","2.048",6,-9.54042402499242,2.86131913601038e-11,35,2.52222222222222,0.300475813145941,2.57230152441321,2.47214292003123,2.23182892608809e-10,"p < .001","p < .001","***"
"forward","2.048",7,-3.42444615783951,0.00158766002317912,35,2.82592592592593,0.304996602750907,2.87675869305108,2.77509315880077,0.00386992130649912,"p = .002","p = .004","***"
