"tr","interference","event","mean_probability","sem_upper","sem_lower"
11,"forward",3,12.9839590868388,15.0726143760601,10.8953037976175
12,"forward",3,12.7662899487134,15.1437757698379,10.3888041275889
13,"forward",3,13.137707793101,15.265969088221,11.009446497981
1,"backward",5,10.2209211455442,11.9592834232939,8.48255886779443
2,"backward",5,8.67118652235415,10.2141799678047,7.12819307690358
3,"backward",5,6.17044962245572,7.60704735282473,4.73385189208672
4,"backward",5,4.39169553893425,5.43260069532642,3.35079038254208
5,"backward",5,3.12871348609306,3.96448432986407,2.29294264232205
6,"backward",5,5.33389328734409,6.6270801947611,4.04070637992707
7,"backward",5,9.29884067854076,11.1703365471422,7.42734480993936
8,"backward",5,11.3792930697606,13.0975121121088,9.66107402741244
9,"backward",5,11.2993518859712,13.0496841893705,9.54901958257184
10,"backward",5,8.48846158621151,9.70790019136189,7.26902298106112
11,"backward",5,11.1077490395683,12.9171906201913,9.29830745894536
12,"backward",5,13.1385072333816,15.1957143420898,11.0813001246733
13,"backward",5,11.5528469533301,13.4253116761061,9.68038223055403
1,"forward",2,9.90932662088745,11.6596621778238,8.15899106395112
2,"forward",2,12.2646938712636,14.2532579913387,10.2761297511884
3,"forward",2,24.3255409241537,27.200925353541,21.4501564947664
4,"forward",2,42.5792958906173,45.3001207287624,39.8584710524721
5,"forward",2,49.4235905226861,52.0656237014987,46.7815573438736
6,"forward",2,39.3097175409772,42.531417144209,36.0880179377453
7,"forward",2,21.4053676692244,24.2606285692736,18.5501067691752
8,"forward",2,10.9435445259105,13.0025482558294,8.88454079599157
9,"forward",2,7.82298577648023,9.34194718337404,6.30402436958642
10,"forward",2,8.87319272160961,10.8362780920475,6.91010735117168
11,"forward",2,8.18105868643817,9.9975534837013,6.36456388917504
12,"forward",2,9.54233586781376,11.5164295512314,7.56824218439613
13,"forward",2,6.54261826792316,8.37843689564394,4.70679964020238
1,"backward",1,7.9397278578545,9.13072367346561,6.74873204224339
2,"backward",1,12.9047304826054,14.8363173562822,10.9731436089285
3,"backward",1,36.3627219503519,38.8349992705426,33.8904446301613
4,"backward",1,41.5039759809548,44.097218023298,38.9107339386115
5,"backward",1,36.9310011133243,39.7171249674628,34.1448772591859
6,"backward",1,19.6653377894018,21.9083747363874,17.4223008424162
7,"backward",1,13.8640831614291,16.2988172530145,11.4293490698438
8,"backward",1,10.3297218775211,12.2304573808764,8.4289863741658
9,"backward",1,8.57468511109759,10.0204478737744,7.12892234842076
10,"backward",1,9.43116551913126,11.1762557253317,7.68607531293079
11,"backward",1,7.79569392003129,9.2547360244997,6.33665181556287
12,"backward",1,7.82057011043148,9.26113336229986,6.38000685856311
13,"backward",1,6.67335187091559,8.1051430692868,5.24156067254438
1,"forward",4,15.0679611843032,17.1647523324812,12.9711700361252
2,"forward",4,12.1498584134685,14.1953746820944,10.1043421448425
3,"forward",4,10.0979944162726,11.80472052014,8.39126831240526
4,"forward",4,7.52691275905647,9.01581261947982,6.03801289863313
5,"forward",4,3.68861302279948,4.59296670480193,2.78425934079703
6,"forward",4,4.28289347547197,5.44661934041406,3.11916761052987
7,"forward",4,7.09239374324479,8.56778043541265,5.61700705107693
8,"forward",4,13.4758779393546,15.6157456546926,11.3360102240166
9,"forward",4,11.6061727613203,13.3686619526017,9.8436835700388
10,"forward",4,11.7425024265626,13.5309841996565,9.95402065346871
11,"forward",4,11.3740777853441,13.1146581282523,9.63349744243584
12,"forward",4,10.3505572150157,12.1786537818292,8.52246064820223
13,"forward",4,10.9654687548563,12.6343124742398,9.29662503547291
1,"backward",2,15.0342754293056,16.9696156808545,13.0989351777566
2,"backward",2,10.4159345726118,12.3919180046002,8.43995114062328
3,"backward",2,11.6629048376319,13.8009029409558,9.52490673430803
4,"backward",2,19.3280283299326,21.8662752967125,16.7897813631527
5,"backward",2,26.6333797537797,29.4767902126039,23.7899692949555
6,"backward",2,21.994706544356,24.9335047629721,19.0559083257399
7,"backward",2,17.9615065243161,20.2838033500315,15.6392096986008
8,"backward",2,14.3284116495565,16.2440436468772,12.4127796522358
9,"backward",2,9.11556765373979,10.7109871467011,7.52014816077843
10,"backward",2,10.2690739835115,11.999628045045,8.53851992197795
11,"backward",2,9.94773801803871,11.4219507104108,8.47352532566658
12,"backward",2,9.55640258794023,11.3189920538997,7.79381312198079
13,"backward",2,7.66226388949874,8.99373015703894,6.33079762195854
1,"backward",4,11.3988619199342,13.8051488089462,8.99257503092208
2,"backward",4,14.7811527738118,16.9253118860443,12.6369936615793
3,"backward",4,11.1034155451422,12.8908863787907,9.31594471149358
4,"backward",4,6.92405129202951,8.42376458186623,5.42433800219279
5,"backward",4,4.0970782311013,5.08127779568106,3.11287866652154
6,"backward",4,6.31293299992394,7.63746614617661,4.98839985367126
7,"backward",4,10.4763174929105,12.3740489359547,8.57858604986617
8,"backward",4,10.8495416977576,12.500867455746,9.19821593976916
9,"backward",4,10.6524373613423,12.2223375155003,9.08253720718434
10,"backward",4,8.76340230323425,10.3991785159126,7.12762609055591
11,"backward",4,9.98688635503324,11.503719252138,8.4700534579285
12,"backward",4,12.9429858868077,15.1019595571481,10.7840122164672
13,"backward",4,11.3494724642715,13.1848993373861,9.51404559115689
1,"backward",3,13.3684207934129,15.0158421890703,11.7209993977555
2,"backward",3,9.45066932170604,10.893416108806,8.00792253460608
3,"backward",3,8.54223062982096,10.0154374931113,7.0690237665306
4,"backward",3,7.48706578121796,9.22709153923312,5.7470400232028
5,"backward",3,5.20685633481053,6.34262329994728,4.07108936967378
6,"backward",3,7.72626246410652,9.36944352018818,6.08308140802485
7,"backward",3,9.2904719448924,10.9178292305783,7.66311465920655
8,"backward",3,12.097891863684,13.743765444277,10.4520182830911
9,"backward",3,14.180527917456,16.4499777550145,11.9110780798974
10,"backward",3,13.7154992604502,15.6644248734039,11.7665736474965
11,"backward",3,12.9237462622072,14.9670725479487,10.8804199764658
12,"backward",3,12.0294652183111,13.9286680796571,10.1302623569652
13,"backward",3,11.3787644746184,12.8724561034943,9.88507284574255
