"seq_tr","change","position","mean_probability","sem_upper","sem_lower"
9,2,2,7.82298577648023,9.34194718337404,6.30402436958642
10,2,2,8.87319272160961,10.8362780920475,6.91010735117168
11,2,2,8.18105868643817,9.9975534837013,6.36456388917504
12,2,2,9.54233586781376,11.5164295512314,7.56824218439613
13,2,2,6.54261826792316,8.37843689564394,4.70679964020238
1,16,5,10.1870766559908,12.1355870422596,8.23856626972202
2,16,5,7.82564530443911,9.1548726297051,6.49641797917312
3,16,5,9.54014379905754,11.5521606634359,7.52812693467917
4,16,5,9.67522776352408,11.7588034249633,7.59165210208483
5,16,5,6.68608986613759,8.41950303698971,4.95267669528548
6,16,5,4.71284501363334,6.03518366977571,3.39050635749097
7,16,5,6.41836325009317,8.11665982993429,4.72006667025205
8,16,5,11.8265475327808,13.5439324005618,10.1091626649997
9,16,5,12.2527235033583,13.9325616894188,10.5728853172978
10,16,5,10.3156010403876,11.8224140657555,8.80878801501962
11,16,5,10.9628722782305,12.4233529836318,9.5023915728292
12,16,5,9.45706560372008,10.8422566824277,8.07187452501245
13,16,5,11.2263095326739,12.8232205379408,9.62939852740702
1,3,3,11.3593260499271,13.2752799835359,9.44337211631828
2,3,3,10.8234921828852,12.4484617739011,9.19852259186925
3,3,3,6.60456300641036,7.91354100282422,5.29558500999651
4,3,3,7.45233412496167,9.2742123094121,5.63045594051125
5,3,3,5.13877233195903,6.22738097263219,4.05016369128588
6,3,3,6.67704791522599,8.06078068335592,5.29331514709605
7,3,3,9.99268774859696,11.8296405140659,8.15573498312798
8,3,3,10.8189349878003,12.4488406073492,9.18902936825146
9,3,3,10.7273269671048,12.7048382103106,8.74981572389898
10,3,3,11.4113190769517,13.241655092192,9.58098306171132
11,3,3,12.5648777807702,14.2158217720247,10.9139337895158
12,3,3,12.1223958336318,14.3077987719137,9.93699289534997
13,3,3,14.0814985856038,15.8615919792409,12.3014051919668
1,6,5,11.9648909897536,13.6607467119806,10.2690352675267
2,6,5,12.549820736885,14.4359773025526,10.6636641712175
3,6,5,10.6077404024081,12.2941398299045,8.92134097491169
4,6,5,8.35373707932484,9.90915764188739,6.79831651676229
5,6,5,5.77675380244048,7.00083571856334,4.55267188631763
6,6,5,8.20584859019377,9.77220842509993,6.63948875528761
7,6,5,8.01199877530583,9.53383046674979,6.49016708386188
