"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.128","excluded",10,-0.00228596602119245,0.199401645195396,-1.30799294421356,35,0.22,-0.000538276149236066,-0.00403365589314884,NA,"p = .20","p = NA",NA
"0.128","excluded",11,-0.000522435295717381,0.814498171660267,-0.236402840999238,35,0.04,0.00168750132564101,-0.00273237191707577,NA,"p = .81","p = NA",NA
"0.128","excluded",12,0.00220931062036363,0.335954227363736,0.975607499737164,35,0.16,0.00447385924361512,-5.52380028878661e-05,NA,"p = .34","p = NA",NA
"0.128","excluded",13,0.0038162029210936,0.134223022033475,1.53317594123319,35,0.26,0.00630528641011841,0.00132711943206879,NA,"p = .13","p = NA",NA
"0.512","excluded",1,0.000158157772307797,0.957701783596214,0.0534190400967155,35,0.01,0.00311885815219953,-0.00280254260758393,NA,"p = .96","p = NA",NA
"0.512","excluded",10,0.00263337734473383,0.166450348934189,1.41312743597839,35,0.24,0.00449688751210285,0.000769867177364818,NA,"p = .17","p = NA",NA
"0.512","excluded",11,0.000490743384593048,0.779597347439871,0.282009181523039,35,0.05,0.00223091149522939,-0.00124942472604329,NA,"p = .78","p = NA",NA
"0.512","excluded",12,-0.000316910604001753,0.888055406397339,-0.141794472776466,35,0.02,0.00191808909518504,-0.00255191030318855,NA,"p = .89","p = NA",NA
"0.512","excluded",13,0.000741491264559065,0.706900800036464,0.379104144964634,35,0.06,0.00269739513532322,-0.00121441260620509,NA,"p = .71","p = NA",NA
"2.048","excluded",1,-0.00173427054412185,0.540685576924259,-0.617832108434229,35,0.1,0.00107275505465612,-0.00454129614289982,NA,"p = .54","p = NA",NA
"0.032","forward",2,0.00425542488568028,0.057037793329362,1.96793991097279,35,0.33,0.00641780030271055,0.00209304946865002,0.0794454978516113,"p = .06","p = .08",""
"0.032","forward",3,0.00607186760768667,0.0370373148681485,2.16807297503502,35,0.36,0.00887245028068854,0.00327128493468481,0.0555559723022228,"p = .04","p = .06",""
"0.032","forward",4,-0.00206319952879588,0.594453881858953,-0.537309259723052,35,0.09,0.00177667386154794,-0.0059030729191397,0.626586524121599,"p = .59","p = .63",""
"0.064","forward",2,0.00371257439300445,0.112011926549167,1.63027262610013,35,0.27,0.00598984650907102,0.00143530227693788,0.136514535481797,"p = .11","p = .14",""
"0.064","forward",3,0.00787336493722395,0.0366158652972301,2.17323979341703,35,0.36,0.011496234793129,0.00425049508131887,0.0555559723022228,"p = .04","p = .06",""
"0.064","forward",4,-0.00270437997075796,0.497632417705676,-0.685358175483263,35,0.11,0.0012415567197193,-0.00665031666123523,0.539101785847816,"p = .50","p = .54",""
"0.128","forward",2,0.00554447780781631,0.0351832663186079,2.19120740216057,35,0.37,0.00807480779955938,0.00301414781607325,0.0555559723022228,"p = .04","p = .06",""
"0.128","forward",3,0.00716773041181855,0.0232848705334343,2.37268446605404,35,0.4,0.0101886674619688,0.00414679336166833,0.0412777250365426,"p = .02","p = .04","*"
"0.128","forward",4,0.00441088702262078,0.224119398350375,1.23755511275731,35,0.21,0.00797508143881383,0.000846692606427721,0.257078133401901,"p = .22","p = .26",""
"0.512","forward",2,0.00118813556041502,0.62249366518821,0.49671789651985,35,0.08,0.00358010808393279,-0.00120383696310274,0.638875077430005,"p = .62","p = .64",""
"0.512","forward",3,0.0215321607057259,7.55152255111349e-08,6.77139302648628,35,1.13,0.0247120323542187,0.018352289057233,2.94509379493426e-07,"p < .001","p < .001","*"
"0.512","forward",4,0.0190165998259029,4.7160636937048e-07,6.16273627868358,35,1.03,0.0221023394983402,0.0159308601534655,1.53272070045406e-06,"p < .001","p < .001","*"
"0.512","forward",5,-0.00446113066064887,0.188644780702603,-1.340732792872,35,0.22,-0.00113374828858604,-0.00778851303271171,0.22294383173944,"p = .19","p = .22",""
"2.048","forward",2,0.00368755053333427,0.069880239420679,1.86990618441966,35,0.31,0.00565960162555456,0.00171549944111398,0.0908443112468827,"p = .07","p = .09",""
"2.048","forward",3,0.0232669720178012,3.84902797549534e-09,7.78227410828359,35,1.3,0.0262567114813644,0.0202772325542381,1.87640113805398e-08,"p < .001","p < .001","*"
"2.048","forward",4,0.0373378326804911,8.27983556938003e-17,14.9971919585195,35,2.5,0.0398274875961422,0.03484817776484,1.0763786240194e-15,"p < .001","p < .001","*"
"2.048","forward",5,0.0307729647697893,2.72264552769358e-13,11.3599220393083,35,1.89,0.0334818711041204,0.0280640584354583,2.65457938950124e-12,"p < .001","p < .001","*"
"2.048","forward",6,0.0176022513923798,1.19483235880037e-10,9.01318308474562,35,1.5,0.0195551964537279,0.0156493063310317,7.76641033220242e-10,"p < .001","p < .001","*"
"2.048","forward",7,0.00707639913991724,0.000350840573508372,3.95961146295921,35,0.66,0.00886354396614943,0.00528925431368505,0.000912185491121768,"p < .001","p < .001","*"
