"speed","time","mean_difference","sem_upper","sem_lower"
0.032,10,0,0,0
0.032,10.1,0,0,0
0.032,10.2,0,0,0
0.032,10.3,0,0,0
0.032,10.4,0,0,0
0.032,10.5,0,0,0
0.032,10.6,0,0,0
0.032,10.7,0,0,0
0.032,10.8,0,0,0
0.032,10.9,0,0,0
0.032,11,0,0,0
0.032,11.1,0,0,0
0.032,11.2,0,0,0
0.032,11.3,0,0,0
0.032,11.4,0,0,0
0.032,11.5,0,0,0
0.032,11.6,0,0,0
0.032,11.7,0,0,0
0.032,11.8,0,0,0
0.032,11.9,0,0,0
0.032,12,0,0,0
0.064,0,0,0,0
0.064,0.1,0,0,0
0.064,0.2,3.73525346228919e-05,7.47050692457837e-05,0
0.064,0.3,0.000245791760888458,0.000418997523281734,7.25859984951814e-05
0.064,0.4,0.00075474660233822,0.00111085834270205,0.000398634861974388
0.064,0.5,0.00200197661134742,0.00265689028464956,0.00134706293804528
0.064,0.6,0.00564638581720415,0.00680125145770047,0.00449152017670782
0.064,0.7,0.0119495225007628,0.0135858569389454,0.0103131880625802
0.064,0.8,0.0200666822427154,0.0220062205138873,0.0181271439715436
0.064,0.9,0.0281257268222925,0.0304194300138916,0.0258320236306934
0.064,1,0.0359790598386148,0.0386215909227776,0.033336528754452
0.064,1.1,0.0433650172689367,0.0463651346888423,0.0403648998490311
0.064,1.2,0.0503080075497568,0.0535987676374773,0.0470172474620363
0.064,1.3,0.056663433161894,0.0601861694277033,0.0531406968960847
0.064,1.4,0.0622791692268051,0.0659930449085826,0.0585652935450277
0.064,1.5,0.0670810715931924,0.0709376012088493,0.0632245419775354
0.064,1.6,0.0710060578508314,0.0749517472060732,0.0670603684955896
0.064,1.7,0.0740029746203422,0.0779816729234533,0.0700242763172312
0.064,1.8,0.0760332967719287,0.0799884538422569,0.0720781397016006
0.064,1.9,0.0770716485326907,0.0809486255100375,0.073194671555344
0.064,2,0.077106139037873,0.0808547152630722,0.0733575628126737
0.064,2.1,0.0761385075898971,0.0797157522484657,0.0725612629313285
0.064,2.2,0.0741840766694088,0.0775578003696163,0.0708103529692014
0.064,2.3,0.071271513552852,0.0744245434275199,0.0681184836781842
0.064,2.4,0.0674424041887263,0.0703778072626737,0.064507001114779
0.064,2.5,0.0627506457273194,0.0654974315474972,0.0600038599071415
0.064,2.6,0.0572616667447503,0.0598789429354883,0.0546443905540123
0.064,2.7,0.0510514867115169,0.0536268212385988,0.048476152184435
0.064,2.8,0.0442056285903866,0.046843609238074,0.0415676479426991
0.064,2.9,0.0368179005731014,0.0396212506552764,0.0340145504909264
0.064,3,0.0289890648479076,0.0320416933633693,0.0259364363324459
0.064,3.1,0.0208254129020657,0.0241843258303062,0.0174664999738253
0.064,3.2,0.0124372681811418,0.0161324103943931,0.00874212596789062
0.064,3.3,0.00393743793049221,0.00797521112724169,-0.000100335266257257
0.064,3.4,-0.00456036328070115,-0.00019289742123244,-0.00892782914016987
0.064,3.5,-0.0129430955157459,-0.00827446506232339,-0.0176117259691685
0.064,3.6,-0.0210999580757432,-0.0161711522107398,-0.0260287639407467
0.064,3.7,-0.0289239142696848,-0.0237857331389328,-0.0340620954004367
0.064,3.8,-0.0363131545474283,-0.0310238523495022,-0.0416024567453545
0.064,3.9,-0.0431724771995059,-0.037795544671941,-0.0485494097270708
0.064,4,-0.0494145671406939,-0.0440165348313725,-0.0548125994500153
0.064,4.1,-0.0549611548931436,-0.0496093183106648,-0.0603129914756224
0.064,4.2,-0.0597440397440609,-0.0545040071439953,-0.0649840723441264
0.064,4.3,-0.0637059631429251,-0.0586389041292016,-0.0687730221566487
0.064,4.4,-0.06680132069106,-0.0619607464269122,-0.0716418949552078
0.064,4.5,-0.0689967035261078,-0.0644245386485536,-0.0735688684036619
0.064,4.6,-0.0702712624773437,-0.0659928994048443,-0.0745496255498431
0.064,4.7,-0.0706168910248,-0.0666349530289617,-0.0745988290206383
0.064,4.8,-0.0700382257947594,-0.0663252105779016,-0.0737512410116173
0.064,4.9,-0.0685524660247889,-0.065043896194541,-0.0720610358550368
0.064,5,-0.066189016091808,-0.062781486528361,-0.0695965456552549
0.064,5.1,-0.0629889577762898,-0.0595492060322866,-0.0664287095202929
0.064,5.2,-0.0590043613956495,-0.0553905648611543,-0.0626181579301447
0.064,5.3,-0.0542974472433831,-0.0503834544612368,-0.0582114400255293
0.064,5.4,-0.0489672595797557,-0.0446670468199229,-0.0532674723395885
0.064,5.5,-0.043808998929833,-0.0392754886101601,-0.0483425092495058
0.064,5.6,-0.0391250675434827,-0.0345762714782669,-0.0436738636086986
0.064,5.7,-0.0348580336786396,-0.0304456029058883,-0.0392704644513909
0.064,5.8,-0.0308385043928301,-0.0266665426265261,-0.0350104661591342
0.064,5.9,-0.0271059852153993,-0.0232662255129971,-0.0309457449178015
0.064,6,-0.0234058826797644,-0.019928203470544,-0.0268835618889847
0.064,6.1,-0.0196012396752493,-0.0164553147138219,-0.0227471646366767
0.064,6.2,-0.0158496932252067,-0.0129987327720042,-0.0187006536784092
0.064,6.3,-0.0124395075874069,-0.0098512418355838,-0.0150277733392301
0.064,6.4,-0.00977823866128216,-0.00748787734365107,-0.0120685999789133
0.064,6.5,-0.00730036459104249,-0.00525940792860006,-0.00934132125348492
0.064,6.6,-0.00536687741548897,-0.00353072590037057,-0.00720302893060737
0.064,6.7,-0.00418346226582483,-0.00256490997534422,-0.00580201455630545
0.064,6.8,-0.00325054745665246,-0.00183230760556953,-0.00466878730773539
0.064,6.9,-0.00255017854257328,-0.00132602063458593,-0.00377433645056064
0.064,7,-0.00206469438843273,-0.00103231299066394,-0.00309707578620152
0.064,7.1,-0.00163098717540278,-0.000797205883313636,-0.00246476846749192
0.064,7.2,-0.00118474412507606,-0.000549320980783521,-0.00182016726936861
0.064,7.3,-0.00072940094942785,-0.0002816407749365,-0.0011771611239192
