"tr","interference","event","mean_probability","sem_upper","sem_lower"
12,"forward",3,14.3168429463812,16.3653213221008,12.2683645706617
13,"forward",3,15.3459883758807,17.5684185086341,13.1235582431274
1,"backward",3,15.1006930013815,17.0217453968105,13.1796406059525
2,"backward",3,12.4003285952799,14.4822936105745,10.3183635799853
3,"backward",3,7.9663486165475,9.56310308469519,6.36959414839981
4,"backward",3,6.19209754852772,7.55394645830486,4.83024863875058
5,"backward",3,2.91232820637255,3.59987483193126,2.22478158081384
6,"backward",3,6.49259393848424,7.9961263222421,4.98906155472639
7,"backward",3,11.5567843542441,13.4174162308054,9.69615247768281
8,"backward",3,12.6222371328458,14.4891914022147,10.7552828634769
9,"backward",3,13.1797509609531,15.3227089522871,11.0367929696192
10,"backward",3,9.80054952425229,11.3069678697284,8.29413117877615
11,"backward",3,10.2664105796775,12.3391393378006,8.19368182155434
12,"backward",3,11.6681379292563,13.4766273475759,9.85964851093664
13,"backward",3,12.1445203084436,13.9964106747762,10.292629942111
1,"forward",2,9.90932662088745,11.6596621778238,8.15899106395112
2,"forward",2,12.2646938712636,14.2532579913387,10.2761297511884
3,"forward",2,24.3255409241537,27.200925353541,21.4501564947664
4,"forward",2,42.5792958906173,45.3001207287624,39.8584710524721
5,"forward",2,49.4235905226861,52.0656237014987,46.7815573438736
6,"forward",2,39.3097175409772,42.531417144209,36.0880179377453
7,"forward",2,21.4053676692244,24.2606285692736,18.5501067691752
8,"forward",2,10.9435445259105,13.0025482558294,8.88454079599157
9,"forward",2,7.82298577648023,9.34194718337404,6.30402436958642
10,"forward",2,8.87319272160961,10.8362780920475,6.91010735117168
11,"forward",2,8.18105868643817,9.9975534837013,6.36456388917504
12,"forward",2,9.54233586781376,11.5164295512314,7.56824218439613
13,"forward",2,6.54261826792316,8.37843689564394,4.70679964020238
1,"backward",1,7.9397278578545,9.13072367346561,6.74873204224339
2,"backward",1,12.9047304826054,14.8363173562822,10.9731436089285
3,"backward",1,36.3627219503519,38.8349992705426,33.8904446301613
4,"backward",1,41.5039759809548,44.097218023298,38.9107339386115
5,"backward",1,36.9310011133243,39.7171249674628,34.1448772591859
6,"backward",1,19.6653377894018,21.9083747363874,17.4223008424162
7,"backward",1,13.8640831614291,16.2988172530145,11.4293490698438
8,"backward",1,10.3297218775211,12.2304573808764,8.4289863741658
9,"backward",1,8.57468511109759,10.0204478737744,7.12892234842076
10,"backward",1,9.43116551913126,11.1762557253317,7.68607531293079
11,"backward",1,7.79569392003129,9.2547360244997,6.33665181556287
12,"backward",1,7.82057011043148,9.26113336229986,6.38000685856311
13,"backward",1,6.67335187091559,8.1051430692868,5.24156067254438
1,"backward",2,15.0342754293056,16.9696156808545,13.0989351777566
2,"backward",2,10.4159345726118,12.3919180046002,8.43995114062328
3,"backward",2,11.6629048376319,13.8009029409558,9.52490673430803
4,"backward",2,19.3280283299326,21.8662752967125,16.7897813631527
5,"backward",2,26.6333797537797,29.4767902126039,23.7899692949555
6,"backward",2,21.994706544356,24.9335047629721,19.0559083257399
7,"backward",2,17.9615065243161,20.2838033500315,15.6392096986008
8,"backward",2,14.3284116495565,16.2440436468772,12.4127796522358
9,"backward",2,9.11556765373979,10.7109871467011,7.52014816077843
10,"backward",2,10.2690739835115,11.999628045045,8.53851992197795
11,"backward",2,9.94773801803871,11.4219507104108,8.47352532566658
12,"backward",2,9.55640258794023,11.3189920538997,7.79381312198079
13,"backward",2,7.66226388949874,8.99373015703894,6.33079762195854
1,"backward",5,11.7428642566479,14.3293044377018,9.1564240755941
2,"backward",5,9.32020664958243,11.0135843596924,7.62682893947243
3,"backward",5,8.39369772983611,10.0069194424903,6.78047601718192
4,"backward",5,5.60818839684302,7.17215484005621,4.04422195362984
5,"backward",5,3.92359411739301,5.19001593832295,2.65717229646306
6,"backward",5,5.65727947526484,7.11530955998526,4.19924939054442
7,"backward",5,9.25739124422464,11.1418979410538,7.37288454739552
8,"backward",5,12.3926032367584,14.3121889165433,10.4730175569735
9,"backward",5,12.855217315178,15.0707168102667,10.6397178200893
10,"backward",5,10.9547470471549,12.5018366641793,9.40765743013036
11,"backward",5,12.9208275919211,14.9505564559238,10.8910987279184
12,"backward",5,12.7239010187299,15.1154179084139,10.3323841290459
13,"backward",5,9.62003702123657,11.207887105509,8.03218693696417
1,"forward",5,14.0960692356049,16.0348822899831,12.1572561812267
2,"forward",5,10.393328697155,12.128445547213,8.65821184709706
3,"forward",5,8.44704103781153,10.1826354104552,6.71144666516791
