"speed","insert","snr","snr_char","mean_variable_diff","sem_upper","sem_lower","pvalue_log"
"32 ms",1,0,"0",-0.000600761213212917,0.00015680090230895,-0.00135832332873478,-0.2310231509881
"32 ms",1,0.125,"1/8",-0.00169329749533619,-0.000967123434374859,-0.00241947155629753,-1.13891796336689
"32 ms",1,0.25,"1/4",-0.00238970877271765,-0.00168762995588707,-0.00309178758954823,-1.98097909885392
"32 ms",1,0.5,"1/2",-0.00289694046776828,-0.00221298767194816,-0.0035808932635884,-2.67235623667421
"32 ms",1,0.8,"4/5",-0.00206880374082653,-0.00135067421252613,-0.00278693326912692,-1.56118168717127
"32 ms",2,0,"0",-0.00118748548252652,-0.000167035761315932,-0.0022079352037371,-0.397348489301039
"32 ms",2,0.125,"1/8",-0.0033930002229849,-0.00241276522026157,-0.00437323522570822,-2.01595205440131
"32 ms",2,0.25,"1/4",-0.00484165696501536,-0.00387617485365519,-0.00580713907637553,-3.34764119826744
"32 ms",2,0.5,"1/2",-0.00588675302133342,-0.00488798575395298,-0.00688552028871386,-4.09471688523023
"32 ms",2,0.8,"4/5",-0.00397491810503555,-0.00292298780439278,-0.00502684840567831,-2.26752450917743
"32 ms",3,0,"0",-0.000901242761959941,0.000457825202377961,-0.00226031072629784,-0.190448983721297
"32 ms",3,0.125,"1/8",-0.004377856236378,-0.00305291367105933,-0.00570279880169667,-1.90866554631523
"32 ms",3,0.25,"1/4",-0.00674907274772608,-0.00543605735528922,-0.00806208814016294,-3.44289999816717
"32 ms",3,0.5,"1/2",-0.00871121458753857,-0.00736885330892113,-0.010053575866156,-4.56444644182819
"32 ms",3,0.8,"4/5",-0.00613834906462684,-0.00474027614633947,-0.00753642198291422,-2.79807587197696
"32 ms",4,0,"0",-0.000483017825561437,0.00106245064340751,-0.00202848629453038,-0.0930510962131283
"32 ms",4,0.125,"1/8",-0.00538556195387591,-0.00388225140622086,-0.00688887250153096,-2.10734725473203
"32 ms",4,0.25,"1/4",-0.00886775167707932,-0.00737513333290235,-0.0103603700212563,-4.09471688523023
"32 ms",4,0.5,"1/2",-0.0121509929012196,-0.0106162964465735,-0.0136856893558658,-5.63873210218652
"32 ms",4,0.8,"4/5",-0.00934615432482798,-0.00775676397955714,-0.0109355446700988,-4.09471688523023
"32 ms",5,0,"0",-0.000779649852754951,0.000715919288370986,-0.00227521899388089,-0.155957985034108
"32 ms",5,0.125,"1/8",-0.0069481150250381,-0.00548252320579396,-0.00841370684428224,-3.10901232353559
"32 ms",5,0.25,"1/4",-0.011398804283458,-0.00989897036321185,-0.0128986382037041,-5.42948509712852
"32 ms",5,0.5,"1/2",-0.0158120239881585,-0.0141171668679912,-0.0175068811083258,-6.61767985552191
"32 ms",5,0.8,"4/5",-0.0127076777045868,-0.0107965702439234,-0.0146187851652502,-4.6695337354762
"32 ms",6,0,"0",-0.00108495289104005,0.000613043633618764,-0.00278294941569887,-0.190448983721297
"32 ms",6,0.125,"1/8",-0.0084846212877495,-0.00688382996510722,-0.0100854126103918,-3.56951423366071
"32 ms",6,0.25,"1/4",-0.0138941005540769,-0.0122852192188122,-0.0155029818893417,-6.16925417239395
"32 ms",6,0.5,"1/2",-0.0194290200034163,-0.0175645174822697,-0.0212935225245629,-7.26212192153429
"32 ms",6,0.8,"4/5",-0.0160594150422103,-0.0138611988129534,-0.0182576312714673,-5.22370886282003
