"id","seq_tr","class","stim","mean_prob","current_stim"
"sub-02",5,"chair","cat",27.2338539269787,0
"sub-02",6,"chair","cat",26.6564703630404,0
"sub-02",7,"chair","cat",30.3243858017658,0
"sub-02",1,"chair","shoe",17.2171241674593,0
"sub-02",2,"chair","shoe",21.8185668125957,0
"sub-02",3,"chair","shoe",26.0585639650436,0
"sub-02",4,"chair","shoe",27.1162689392021,0
"sub-02",5,"chair","shoe",28.1815597075731,0
"sub-02",6,"chair","shoe",23.7221245024871,0
"sub-02",7,"chair","shoe",28.0676004365621,0
"sub-02",1,"face","face",26.310534368969,1
"sub-02",2,"face","face",19.879272131224,1
"sub-02",3,"face","face",22.1315795600614,1
"sub-02",4,"face","face",27.990560717215,1
"sub-02",5,"face","face",20.3574716220135,1
"sub-02",6,"face","face",20.8256090050324,1
"sub-02",7,"face","face",29.8835876449831,1
"sub-02",1,"face","chair",20.4394720824985,0
"sub-02",2,"face","chair",27.6997516870931,0
"sub-02",3,"face","chair",18.665637218562,0
"sub-02",4,"face","chair",22.1374099141884,0
"sub-02",5,"face","chair",23.0224087183114,0
"sub-02",6,"face","chair",23.6129376190483,0
"sub-02",7,"face","chair",29.4543648903814,0
"sub-02",1,"face","house",16.2033728177612,0
"sub-02",2,"face","house",26.3332893607794,0
"sub-02",3,"face","house",25.7507874943607,0
"sub-02",4,"face","house",29.1948936436746,0
"sub-02",5,"face","house",23.4982251644469,0
"sub-02",6,"face","house",26.2578476354361,0
"sub-02",7,"face","house",25.0607318502137,0
"sub-02",1,"face","cat",24.9860826539638,0
"sub-02",2,"face","cat",28.3097959137225,0
"sub-02",3,"face","cat",25.8421228907722,0
"sub-02",4,"face","cat",22.4118672824391,0
"sub-02",5,"face","cat",24.292624127462,0
"sub-02",6,"face","cat",26.3546059755265,0
"sub-02",7,"face","cat",23.0910331132636,0
"sub-02",1,"face","shoe",25.7401396502498,0
"sub-02",2,"face","shoe",20.1986934282144,0
"sub-02",3,"face","shoe",21.3240506529923,0
"sub-02",4,"face","shoe",23.9805038121144,0
"sub-02",5,"face","shoe",19.477676180305,0
"sub-02",6,"face","shoe",26.0087454944346,0
"sub-02",7,"face","shoe",22.1678366841487,0
"sub-02",1,"house","face",17.1148067827062,0
"sub-02",2,"house","face",25.2032700020324,0
"sub-02",3,"house","face",24.1589582679585,0
"sub-02",4,"house","face",25.3284508165298,0
"sub-02",5,"house","face",23.4551255874426,0
"sub-02",6,"house","face",28.7028667444162,0
"sub-02",7,"house","face",26.9667374139788,0
"sub-02",1,"house","chair",21.9822276528247,0
"sub-02",2,"house","chair",22.7412928192003,0
"sub-02",3,"house","chair",24.7843409683748,0
"sub-02",4,"house","chair",26.8202000909395,0
"sub-02",5,"house","chair",27.2933827966423,0
"sub-02",6,"house","chair",22.9999807671942,0
"sub-02",7,"house","chair",20.3696699987008,0
"sub-02",1,"house","house",27.6813770807085,1
"sub-02",2,"house","house",28.029660686517,1
"sub-02",3,"house","house",22.3226640169217,1
"sub-02",4,"house","house",24.9174608963541,1
