"t","event","probability"
6.1,"second",0.0814899884028373
6.2,"second",0.0808116315999135
6.3,"second",0.0808116315999135
6.4,"second",0.0808116315999135
6.5,"second",0.0808116315999135
6.6,"second",0.0808116315999135
6.7,"second",0.0808116315999135
6.8,"second",0.0808116315999135
6.9,"second",0.0808116315999135
7,"second",0.0808116315999135
7.1,"second",0.0808116315999135
7.2,"second",0.0808116315999135
7.3,"second",0.0808116315999135
7.4,"second",0.0808116315999135
7.5,"second",0.0808116315999135
7.6,"second",0.0808116315999135
7.7,"second",0.0808116315999135
7.8,"second",0.0808116315999135
7.9,"second",0.0808116315999135
8,"second",0.0808116315999135
0,"cosine",NA
0.1,"cosine",NA
0.2,"cosine",NA
0.3,"cosine",NA
0.4,"cosine",NA
0.5,"cosine",NA
0.6,"cosine",-0.594053586476922
0.7,"cosine",-0.57759418468169
0.8,"cosine",-0.561416892528369
0.9,"cosine",-0.545725396873771
1,"cosine",-0.530717267953895
1.1,"cosine",-0.516581471794533
1.2,"cosine",-0.503495990956731
1.3,"cosine",-0.491625583574077
1.4,"cosine",-0.481119708897598
1.5,"cosine",-0.472110645467521
1.6,"cosine",-0.464711825605864
1.7,"cosine",-0.459016407200079
1.8,"cosine",-0.455096100760327
1.9,"cosine",-0.453000266518768
2,"cosine",-0.452755292939247
2.1,"cosine",-0.454364264462467
2.2,"cosine",-0.457806922670076
2.3,"cosine",-0.463039921356619
2.4,"cosine",-0.469997372297784
2.5,"cosine",-0.478591674843215
2.6,"cosine",-0.488714618888565
2.7,"cosine",-0.500238747339363
2.8,"cosine",-0.513018960912035
2.9,"cosine",-0.526894345066166
3,"cosine",-0.541690196065271
3.1,"cosine",-0.55722022065611
3.2,"cosine",-0.573288881670588
3.3,"cosine",-0.589693860016969
3.4,"cosine",-0.606228602061694
3.5,"cosine",-0.622684920327937
3.6,"cosine",-0.638855614765741
3.7,"cosine",-0.654537081589548
3.8,"cosine",-0.669531876835483
3.9,"cosine",-0.683651202360863
4,"cosine",-0.696717282984942
4.1,"cosine",-0.708565604840507
4.2,"cosine",-0.719046986753455
4.3,"cosine",-0.728029458569779
4.4,"cosine",-0.735399922780124
4.5,"cosine",-0.741065578520537
4.6,"cosine",-0.744955090019951
4.7,"cosine",-0.747019484782577
4.8,"cosine",-0.747232770196274
4.9,"cosine",-0.745592260803237
5,"cosine",-0.742118612112351
5.1,"cosine",-0.736855560527509
5.2,"cosine",-0.729869372666411
5.3,"cosine",-0.721248011003435
5.4,"cosine",-0.711100026341887
5.5,"cosine",-0.699553191060424
5.6,"cosine",-0.686752890342321
5.7,"cosine",-0.672860291643467
5.8,"cosine",-0.658050315447158
5.9,"cosine",-0.642509432855746
6,"cosine",-0.626433317749451
6.1,"cosine",-0.610024383073821
6.2,"cosine",NA
6.3,"cosine",NA
6.4,"cosine",NA
6.5,"cosine",NA
6.6,"cosine",NA
6.7,"cosine",NA
6.8,"cosine",NA
6.9,"cosine",NA
7,"cosine",NA
7.1,"cosine",NA
7.2,"cosine",NA
7.3,"cosine",NA
7.4,"cosine",NA
7.5,"cosine",NA
7.6,"cosine",NA
7.7,"cosine",NA
7.8,"cosine",NA
7.9,"cosine",NA
8,"cosine",NA
0,"cosine_tails",-0.687208868368121
0.1,"cosine_tails",-0.673350749720469
0.2,"cosine_tails",-0.658569078261029
0.3,"cosine_tails",-0.64304996870971
0.4,"cosine_tails",-0.626988820804309
0.5,"cosine_tails",-0.610587859039669
0.6,"cosine_tails",NA
0.7,"cosine_tails",NA
0.8,"cosine_tails",NA
0.9,"cosine_tails",NA
1,"cosine_tails",NA
