"tITI","freq_bins_smooth","mean_spec","sem_upper","sem_lower"
"32 ms",0.173158640226629,1.1980649207977,1.26916654168267,1.12696329991274
"32 ms",0.173866855524079,1.20830209913221,1.28220483168552,1.13439936657889
"32 ms",0.17457507082153,1.18442804256216,1.25656464727867,1.11229143784565
"32 ms",0.17528328611898,1.19352948349641,1.26757152772301,1.11948743926982
"32 ms",0.175991501416431,1.19426316060584,1.26346927122532,1.12505704998637
"32 ms",0.176699716713881,1.17479382688283,1.24180118506289,1.10778646870277
"32 ms",0.177407932011331,1.16674652741443,1.22977310476299,1.10371995006588
"32 ms",0.178116147308782,1.18236181104015,1.24645622568145,1.11826739639885
"32 ms",0.178824362606232,1.17049527507851,1.22964229840697,1.11134825175005
"32 ms",0.179532577903683,1.17478619795009,1.23612495468352,1.11344744121667
"32 ms",0.180240793201133,1.17220337154738,1.23076315669777,1.11364358639698
"32 ms",0.180949008498584,1.14572948498632,1.20666058866108,1.08479838131156
"32 ms",0.181657223796034,1.14228315498748,1.20202335523634,1.08254295473862
"32 ms",0.182365439093484,1.14876521841894,1.2115453655131,1.08598507132478
"32 ms",0.183073654390935,1.14129529993304,1.19979828853289,1.0827923113332
"32 ms",0.183781869688385,1.15044383933469,1.207084942897,1.09380273577238
"32 ms",0.184490084985836,1.11998610961354,1.17721032348552,1.06276189574155
"32 ms",0.185198300283286,1.09232637259675,1.14737943330692,1.03727331188658
"32 ms",0.185906515580737,1.0986613465668,1.15325780131077,1.04406489182283
"32 ms",0.186614730878187,1.09439781692014,1.1530041224107,1.03579151142957
"32 ms",0.187322946175637,1.0784080589005,1.13322123681819,1.02359488098282
"32 ms",0.188031161473088,1.07658375124788,1.12775394162685,1.02541356086891
"32 ms",0.188739376770538,1.06025275850081,1.10940293426556,1.01110258273606
"32 ms",0.189447592067989,1.04232033556594,1.09150903097471,0.993131640157164
"32 ms",0.190155807365439,1.03608699582851,1.08229454654334,0.989879445113683
"32 ms",0.19086402266289,1.02399732969027,1.07210862624619,0.975886033134356
"32 ms",0.19157223796034,1.03639153375415,1.08675075799966,0.986032309508645
"32 ms",0.19228045325779,1.04346891767829,1.09547341318856,0.991464422168012
"32 ms",0.192988668555241,1.05109191744992,1.10130618621482,1.00087764868501
"32 ms",0.193696883852691,1.0461680001773,1.09266699634135,0.999669004013252
"32 ms",0.194405099150142,1.0288544728027,1.07442044509503,0.983288500510372
