"id","speed","snr","snr_char","insert","index","power","label"
"sub-07","32 ms",0.25,"1/4","2 inserts","power_index_slow",0.00480818799871803,"0.07"
"sub-07","32 ms",0.25,"1/4","6 inserts","power_index_fast",0.0714388083081797,"0.17"
"sub-07","32 ms",0.25,"1/4","6 inserts","power_index_slow",-0.0532809276272886,"0.07"
"sub-07","32 ms",0.5,"1/2","2 inserts","power_index_fast",0.066470545038682,"0.17"
"sub-07","32 ms",0.5,"1/2","2 inserts","power_index_slow",0.00345037175807943,"0.07"
"sub-07","32 ms",0.5,"1/2","6 inserts","power_index_fast",0.229424058790297,"0.17"
"sub-07","32 ms",0.5,"1/2","6 inserts","power_index_slow",-0.120560350340419,"0.07"
"sub-07","32 ms",0.8,"4/5","2 inserts","power_index_fast",0.126718722547428,"0.17"
"sub-07","32 ms",0.8,"4/5","2 inserts","power_index_slow",-0.00667907365581197,"0.07"
"sub-07","32 ms",0.8,"4/5","6 inserts","power_index_fast",0.50684347758683,"0.17"
"sub-07","32 ms",0.8,"4/5","6 inserts","power_index_slow",-0.202694272558486,"0.07"
"sub-08","2048 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-08","2048 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-08","2048 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-08","2048 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-08","2048 ms",0.125,"1/8","2 inserts","power_index_fast",0.0400116177636178,"0.17"
"sub-08","2048 ms",0.125,"1/8","2 inserts","power_index_slow",0.0354509752650888,"0.07"
"sub-08","2048 ms",0.125,"1/8","6 inserts","power_index_fast",0.0626162110628063,"0.17"
"sub-08","2048 ms",0.125,"1/8","6 inserts","power_index_slow",0.0414494742941525,"0.07"
"sub-08","2048 ms",0.25,"1/4","2 inserts","power_index_fast",0.0791056383431907,"0.17"
"sub-08","2048 ms",0.25,"1/4","2 inserts","power_index_slow",0.0661050527164535,"0.07"
"sub-08","2048 ms",0.25,"1/4","6 inserts","power_index_fast",0.135924886407765,"0.17"
"sub-08","2048 ms",0.25,"1/4","6 inserts","power_index_slow",0.0773832362970679,"0.07"
"sub-08","2048 ms",0.5,"1/2","2 inserts","power_index_fast",0.149643449552975,"0.17"
"sub-08","2048 ms",0.5,"1/2","2 inserts","power_index_slow",0.108457205243663,"0.07"
"sub-08","2048 ms",0.5,"1/2","6 inserts","power_index_fast",0.300396373907161,"0.17"
"sub-08","2048 ms",0.5,"1/2","6 inserts","power_index_slow",0.119687876479784,"0.07"
"sub-08","2048 ms",0.8,"4/5","2 inserts","power_index_fast",0.211247792913258,"0.17"
"sub-08","2048 ms",0.8,"4/5","2 inserts","power_index_slow",0.12047312112619,"0.07"
"sub-08","2048 ms",0.8,"4/5","6 inserts","power_index_fast",0.479750209096744,"0.17"
"sub-08","2048 ms",0.8,"4/5","6 inserts","power_index_slow",0.103350543258954,"0.07"
"sub-08","32 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-08","32 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-08","32 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-08","32 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-08","32 ms",0.125,"1/8","2 inserts","power_index_fast",0.0114694405131841,"0.17"
"sub-08","32 ms",0.125,"1/8","2 inserts","power_index_slow",0.00508873171745756,"0.07"
"sub-08","32 ms",0.125,"1/8","6 inserts","power_index_fast",-0.000435616926633797,"0.17"
"sub-08","32 ms",0.125,"1/8","6 inserts","power_index_slow",0.0263105530537435,"0.07"
"sub-08","32 ms",0.25,"1/4","2 inserts","power_index_fast",0.0189274486309826,"0.17"
"sub-08","32 ms",0.25,"1/4","2 inserts","power_index_slow",0.0151254971921185,"0.07"
"sub-08","32 ms",0.25,"1/4","6 inserts","power_index_fast",-0.000410453722959092,"0.17"
"sub-08","32 ms",0.25,"1/4","6 inserts","power_index_slow",0.064487996614935,"0.07"
"sub-08","32 ms",0.5,"1/2","2 inserts","power_index_fast",0.0195509590988985,"0.17"
"sub-08","32 ms",0.5,"1/2","2 inserts","power_index_slow",0.050756832527165,"0.07"
"sub-08","32 ms",0.5,"1/2","6 inserts","power_index_fast",0.00136090054766477,"0.17"
"sub-08","32 ms",0.5,"1/2","6 inserts","power_index_slow",0.175747705943838,"0.07"
"sub-08","32 ms",0.8,"4/5","2 inserts","power_index_fast",-0.00697623213125633,"0.17"
"sub-08","32 ms",0.8,"4/5","2 inserts","power_index_slow",0.118541801805392,"0.07"
"sub-08","32 ms",0.8,"4/5","6 inserts","power_index_fast",0.00642742427629932,"0.17"
"sub-08","32 ms",0.8,"4/5","6 inserts","power_index_slow",0.346686126510744,"0.07"
"sub-09","2048 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-09","2048 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-09","2048 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-09","2048 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-09","2048 ms",0.125,"1/8","2 inserts","power_index_fast",0.0106188467813835,"0.17"
"sub-09","2048 ms",0.125,"1/8","2 inserts","power_index_slow",0.0232222300278858,"0.07"
"sub-09","2048 ms",0.125,"1/8","6 inserts","power_index_fast",0.0115778924412507,"0.17"
"sub-09","2048 ms",0.125,"1/8","6 inserts","power_index_slow",0.033063581970614,"0.07"
"sub-09","2048 ms",0.25,"1/4","2 inserts","power_index_fast",0.0195361044958404,"0.17"
"sub-09","2048 ms",0.25,"1/4","2 inserts","power_index_slow",0.0483218363765677,"0.07"
"sub-09","2048 ms",0.25,"1/4","6 inserts","power_index_fast",0.0176863933508461,"0.17"
"sub-09","2048 ms",0.25,"1/4","6 inserts","power_index_slow",0.0647142961254599,"0.07"
"sub-09","2048 ms",0.5,"1/2","2 inserts","power_index_fast",0.0316973670008792,"0.17"
"sub-09","2048 ms",0.5,"1/2","2 inserts","power_index_slow",0.103588156145364,"0.07"
"sub-09","2048 ms",0.5,"1/2","6 inserts","power_index_fast",0.0101940574549705,"0.17"
"sub-09","2048 ms",0.5,"1/2","6 inserts","power_index_slow",0.117247565320257,"0.07"
"sub-09","2048 ms",0.8,"4/5","2 inserts","power_index_fast",0.0353673312458959,"0.17"
"sub-09","2048 ms",0.8,"4/5","2 inserts","power_index_slow",0.176958447025884,"0.07"
"sub-09","2048 ms",0.8,"4/5","6 inserts","power_index_fast",-0.0329489968080684,"0.17"
"sub-09","2048 ms",0.8,"4/5","6 inserts","power_index_slow",0.149444468325452,"0.07"
"sub-09","32 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-09","32 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-09","32 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-09","32 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-09","32 ms",0.125,"1/8","2 inserts","power_index_fast",0.0190566626798248,"0.17"
"sub-09","32 ms",0.125,"1/8","2 inserts","power_index_slow",0.000773067339976041,"0.07"
"sub-09","32 ms",0.125,"1/8","6 inserts","power_index_fast",0.0235064828067083,"0.17"
"sub-09","32 ms",0.125,"1/8","6 inserts","power_index_slow",-0.0213188169688465,"0.07"
"sub-09","32 ms",0.25,"1/4","2 inserts","power_index_fast",0.0339428932302531,"0.17"
"sub-09","32 ms",0.25,"1/4","2 inserts","power_index_slow",0.0020502770172057,"0.07"
"sub-09","32 ms",0.25,"1/4","6 inserts","power_index_fast",0.0413822611998533,"0.17"
"sub-09","32 ms",0.25,"1/4","6 inserts","power_index_slow",-0.030886828764478,"0.07"
"sub-09","32 ms",0.5,"1/2","2 inserts","power_index_fast",0.0496504064953182,"0.17"
"sub-09","32 ms",0.5,"1/2","2 inserts","power_index_slow",0.00602900546801403,"0.07"
"sub-09","32 ms",0.5,"1/2","6 inserts","power_index_fast",0.0547880194766412,"0.17"
"sub-09","32 ms",0.5,"1/2","6 inserts","power_index_slow",-0.00994834675152594,"0.07"
"sub-09","32 ms",0.8,"4/5","2 inserts","power_index_fast",0.0432110571720601,"0.17"
"sub-09","32 ms",0.8,"4/5","2 inserts","power_index_slow",0.0127975546825523,"0.07"
"sub-09","32 ms",0.8,"4/5","6 inserts","power_index_fast",0.0310894204436325,"0.17"
"sub-09","32 ms",0.8,"4/5","6 inserts","power_index_slow",0.075121263568823,"0.07"
"sub-10","2048 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-10","2048 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-10","2048 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-10","2048 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-10","2048 ms",0.125,"1/8","2 inserts","power_index_fast",-0.0302000862742345,"0.17"
"sub-10","2048 ms",0.125,"1/8","2 inserts","power_index_slow",0.00823872713949575,"0.07"
"sub-10","2048 ms",0.125,"1/8","6 inserts","power_index_fast",-0.0208181861848744,"0.17"
"sub-10","2048 ms",0.125,"1/8","6 inserts","power_index_slow",-0.0572789420593913,"0.07"
"sub-10","2048 ms",0.25,"1/4","2 inserts","power_index_fast",-0.064888840577371,"0.17"
"sub-10","2048 ms",0.25,"1/4","2 inserts","power_index_slow",0.020051957489805,"0.07"
"sub-10","2048 ms",0.25,"1/4","6 inserts","power_index_fast",-0.0470059985859288,"0.17"
"sub-10","2048 ms",0.25,"1/4","6 inserts","power_index_slow",-0.107920061865449,"0.07"
"sub-10","2048 ms",0.5,"1/2","2 inserts","power_index_fast",-0.145089182222647,"0.17"
"sub-10","2048 ms",0.5,"1/2","2 inserts","power_index_slow",0.0537292592771699,"0.07"
"sub-10","2048 ms",0.5,"1/2","6 inserts","power_index_fast",-0.111530787603613,"0.17"
"sub-10","2048 ms",0.5,"1/2","6 inserts","power_index_slow",-0.170081000230587,"0.07"
"sub-10","2048 ms",0.8,"4/5","2 inserts","power_index_fast",-0.251690672555782,"0.17"
"sub-10","2048 ms",0.8,"4/5","2 inserts","power_index_slow",0.108003402568353,"0.07"
"sub-10","2048 ms",0.8,"4/5","6 inserts","power_index_fast",-0.190843614206108,"0.17"
"sub-10","2048 ms",0.8,"4/5","6 inserts","power_index_slow",-0.149943605167457,"0.07"
"sub-10","32 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-10","32 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-10","32 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-10","32 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-10","32 ms",0.125,"1/8","2 inserts","power_index_fast",0.0311956036915439,"0.17"
"sub-10","32 ms",0.125,"1/8","2 inserts","power_index_slow",0.00444507873361453,"0.07"
"sub-10","32 ms",0.125,"1/8","6 inserts","power_index_fast",0.0830794748058244,"0.17"
"sub-10","32 ms",0.125,"1/8","6 inserts","power_index_slow",-0.0473478457137791,"0.07"
"sub-10","32 ms",0.25,"1/4","2 inserts","power_index_fast",0.0682248889560506,"0.17"
