"subject","session","run_session","sdt_type","freq"
"sub-32",2,3,"false alarm",0
"sub-32",2,3,"miss",0
"sub-32",2,4,"false alarm",0
"sub-32",2,4,"miss",0
"sub-33",1,1,"false alarm",1.5625
"sub-33",1,1,"miss",0
"sub-33",1,2,"false alarm",0
"sub-33",1,2,"miss",0
"sub-33",1,3,"false alarm",0
"sub-33",1,3,"miss",0
"sub-33",1,4,"false alarm",0
"sub-33",1,4,"miss",0
"sub-33",2,1,"false alarm",0
"sub-33",2,1,"miss",0
"sub-33",2,2,"false alarm",0
"sub-33",2,2,"miss",0
"sub-33",2,3,"false alarm",0
"sub-33",2,3,"miss",0
"sub-33",2,4,"false alarm",1.72413793103448
"sub-33",2,4,"miss",0
"sub-34",1,1,"false alarm",0
"sub-34",1,1,"miss",0
"sub-34",1,2,"false alarm",0
"sub-34",1,2,"miss",0
"sub-34",1,3,"false alarm",0
"sub-34",1,3,"miss",0
"sub-34",1,4,"false alarm",0
"sub-34",1,4,"miss",0
"sub-34",2,1,"false alarm",1.81818181818182
"sub-34",2,1,"miss",0
"sub-34",2,2,"false alarm",0
"sub-34",2,2,"miss",0
"sub-34",2,3,"false alarm",0
"sub-34",2,3,"miss",0
"sub-34",2,4,"false alarm",0
"sub-34",2,4,"miss",0
"sub-35",1,1,"false alarm",0
"sub-35",1,1,"miss",0
"sub-35",1,2,"false alarm",0
"sub-35",1,2,"miss",0
"sub-35",1,3,"false alarm",1.61290322580645
"sub-35",1,3,"miss",0
"sub-35",1,4,"false alarm",0
"sub-35",1,4,"miss",0
"sub-35",2,1,"false alarm",0
"sub-35",2,1,"miss",0
"sub-35",2,2,"false alarm",0
"sub-35",2,2,"miss",0
"sub-35",2,3,"false alarm",0
"sub-35",2,3,"miss",0
"sub-35",2,4,"false alarm",0
"sub-35",2,4,"miss",0
"sub-36",1,1,"false alarm",0
"sub-36",1,1,"miss",0
"sub-36",1,2,"false alarm",1.63934426229508
"sub-36",1,2,"miss",7.14285714285714
"sub-36",1,3,"false alarm",3.57142857142857
"sub-36",1,3,"miss",10.5263157894737
"sub-36",1,4,"false alarm",0
"sub-36",1,4,"miss",0
"sub-36",2,1,"false alarm",0
"sub-36",2,1,"miss",0
"sub-36",2,2,"false alarm",0
"sub-36",2,2,"miss",0
"sub-36",2,3,"false alarm",0
"sub-36",2,3,"miss",4.34782608695652
"sub-36",2,4,"false alarm",1.61290322580645
"sub-36",2,4,"miss",7.69230769230769
"sub-38",1,1,"false alarm",0
"sub-38",1,1,"miss",0
"sub-38",1,2,"false alarm",0
"sub-38",1,2,"miss",0
"sub-38",1,3,"false alarm",0
"sub-38",1,3,"miss",0
"sub-38",1,4,"false alarm",0
"sub-38",1,4,"miss",0
"sub-38",2,1,"false alarm",0
"sub-38",2,1,"miss",7.14285714285714
"sub-38",2,2,"false alarm",0
"sub-38",2,2,"miss",0
"sub-38",2,3,"false alarm",0
"sub-38",2,3,"miss",0
"sub-38",2,4,"false alarm",0
"sub-38",2,4,"miss",0
"sub-39",1,1,"false alarm",0
"sub-39",1,1,"miss",0
"sub-39",1,2,"false alarm",0
"sub-39",1,2,"miss",0
"sub-39",1,3,"false alarm",0
"sub-39",1,3,"miss",0
"sub-39",1,4,"false alarm",0
"sub-39",1,4,"miss",0
"sub-39",2,1,"false alarm",0
"sub-39",2,1,"miss",0
"sub-39",2,2,"false alarm",0
"sub-39",2,2,"miss",0
"sub-39",2,3,"false alarm",0
"sub-39",2,3,"miss",0
"sub-39",2,4,"false alarm",0
"sub-39",2,4,"miss",0
