"id","stim","seq_tr","mean_probability"
"sub-15","chair",7,0.0527991359239332
"sub-15","face",1,0.0664266965091034
"sub-15","face",2,0.119091501290637
"sub-15","face",3,0.383555988621395
"sub-15","face",4,0.664117178249193
"sub-15","face",5,0.388245596373221
"sub-15","face",6,0.0568373998003171
"sub-15","face",7,0.0329759774609302
"sub-15","house",1,0.050946912190482
"sub-15","house",2,0.111541661899612
"sub-15","house",3,0.550911125731159
"sub-15","house",4,0.734302124928978
"sub-15","house",5,0.402047372221436
"sub-15","house",6,0.0772945448327262
"sub-15","house",7,0.0118755118629383
"sub-15","shoe",1,0.05863615571719
"sub-15","shoe",2,0.160675945209859
"sub-15","shoe",3,0.508276445623731
"sub-15","shoe",4,0.693372446656299
"sub-15","shoe",5,0.357643582523587
"sub-15","shoe",6,0.106516516149341
"sub-15","shoe",7,0.0131925422949151
"sub-16","cat",1,0.0686154599369021
"sub-16","cat",2,0.0852187622568952
"sub-16","cat",3,0.319177341437154
"sub-16","cat",4,0.492978597015365
"sub-16","cat",5,0.401254545340426
"sub-16","cat",6,0.317661753341529
"sub-16","cat",7,0.190279399688326
"sub-16","chair",1,0.0891418392400519
"sub-16","chair",2,0.0914940042136613
"sub-16","chair",3,0.277134546267631
"sub-16","chair",4,0.396269681921302
"sub-16","chair",5,0.354339532169893
"sub-16","chair",6,0.265646523976346
"sub-16","chair",7,0.157843454891122
"sub-16","face",1,0.103456303106106
"sub-16","face",2,0.0821388703875478
"sub-16","face",3,0.266102527326247
"sub-16","face",4,0.39675378203105
"sub-16","face",5,0.390313304544107
"sub-16","face",6,0.290731104979255
"sub-16","face",7,0.152096207067366
"sub-16","house",1,0.0880424872385824
"sub-16","house",2,0.120352735689037
"sub-16","house",3,0.369978532868054
"sub-16","house",4,0.522405834622323
"sub-16","house",5,0.409175004129722
"sub-16","house",6,0.295524554378773
"sub-16","house",7,0.154947533149651
"sub-16","shoe",1,0.112302453768203
"sub-16","shoe",2,0.1553447227172
"sub-16","shoe",3,0.298167737297506
"sub-16","shoe",4,0.390369462652636
"sub-16","shoe",5,0.382731013956769
"sub-16","shoe",6,0.250520891791877
"sub-16","shoe",7,0.187946668437688
"sub-17","cat",1,0.124401553968667
"sub-17","cat",2,0.1548628405456
"sub-17","cat",3,0.411363551824458
"sub-17","cat",4,0.677339808022531
"sub-17","cat",5,0.566588229255011
"sub-17","cat",6,0.10514004642204
"sub-17","cat",7,0.0227343729992995
"sub-17","chair",1,0.0276829435065831
"sub-17","chair",2,0.0914509277516241
"sub-17","chair",3,0.375741261653246
"sub-17","chair",4,0.677153391854885
"sub-17","chair",5,0.55713608123425
"sub-17","chair",6,0.261451360531937
"sub-17","chair",7,0.0704971684880365
"sub-17","face",1,0.0271968102231931
"sub-17","face",2,0.0734866790060704
"sub-17","face",3,0.408750754987163
"sub-17","face",4,0.719785179903504
"sub-17","face",5,0.528262955039412
"sub-17","face",6,0.153458714673279
"sub-17","face",7,0.0217560814822565
"sub-17","house",1,0.0386378744224404
"sub-17","house",2,0.0355190948838434
"sub-17","house",3,0.472928206412673
"sub-17","house",4,0.875806790789271
"sub-17","house",5,0.682941920872098
"sub-17","house",6,0.15961540085031
"sub-17","house",7,0.0242778133704093
"sub-17","shoe",1,0.0339419785492466
"sub-17","shoe",2,0.0692586994927128
"sub-17","shoe",3,0.367171152009752
"sub-17","shoe",4,0.725383258076697
"sub-17","shoe",5,0.58545948209096
"sub-17","shoe",6,0.211379739484286
"sub-17","shoe",7,0.0404450554851824
"sub-18","cat",1,0.113411504944857
"sub-18","cat",2,0.0937391248285341
"sub-18","cat",3,0.329481262446657
"sub-18","cat",4,0.614991762688707
"sub-18","cat",5,0.524983886372903
"sub-18","cat",6,0.239689401569414
"sub-18","cat",7,0.0988850594284311
"sub-18","chair",1,0.0927315500748842
"sub-18","chair",2,0.108294041247279
"sub-18","chair",3,0.325684602563161
"sub-18","chair",4,0.506358247993594
"sub-18","chair",5,0.51856957710569
"sub-18","chair",6,0.274418601894025
"sub-18","chair",7,0.139316607685343
"sub-18","face",1,0.0494679644122469
"sub-18","face",2,0.0566689748904731
"sub-18","face",3,0.330877582666379
"sub-18","face",4,0.521501245937808
"sub-18","face",5,0.548174778320675
"sub-18","face",6,0.35134497141721
"sub-18","face",7,0.092245472773621
"sub-18","house",1,0.0420680824028157
"sub-18","house",2,0.125131947230985
"sub-18","house",3,0.453829306739973
"sub-18","house",4,0.666909267229364
"sub-18","house",5,0.572672834317788
"sub-18","house",6,0.290761765114192
