"tITI","t","trial_start","mean_slope","sem_upper","sem_lower"
"32 ms",163,0,-0.0221008740355331,-0.00897402442139549,-0.0352277236496707
"32 ms",164,0,0.000988014829781204,0.0112995642827804,-0.00932353462321803
"32 ms",165,0,0.0224385639509761,0.0353674073353183,0.00950972056663389
"32 ms",166,0,0.00986105447191381,0.0254150670737667,-0.00569295812993906
"32 ms",167,0,0.0131015419347468,0.0256256521655321,0.000577431703961412
"32 ms",168,0,0.0227802112571806,0.0325305754472865,0.0130298470670748
"32 ms",169,1,0.0033927839413927,0.0158249764652031,-0.00903940858241768
"32 ms",170,0,-0.00649576400520193,0.00429672788813917,-0.017288255898543
"32 ms",171,0,0.0099500706043132,0.0261471982700831,-0.00624705706145674
"32 ms",172,0,-0.0154722967444144,-0.00307556615609825,-0.0278690273327305
"32 ms",173,0,-0.00781267245760964,0.00176752354638797,-0.0173928684616072
"32 ms",174,0,-0.0213007043429468,-0.0052305303658306,-0.0373708783200631
"32 ms",175,0,0.00434530737265425,0.0183065733842596,-0.0096159586389511
"32 ms",176,0,-0.0117162190516654,-8.48441868072439e-05,-0.0233475939165235
"32 ms",177,0,-0.00941934532525581,0.00622949942815874,-0.0250681900786704
"32 ms",178,0,0.00410322378527093,0.0190811590501838,-0.0108747114796419
"32 ms",179,0,0.0167293939571279,0.0286993009825044,0.00475948693175132
"32 ms",180,0,0.0142330055500287,0.0261649619823662,0.00230104911769117
"2048 ms",1,1,-0.0194192317276694,-0.00346333953544056,-0.0353751239198982
"2048 ms",2,0,0.0464582914147932,0.0651005941822624,0.027815988647324
"2048 ms",3,0,0.0539937287166788,0.0691532283696217,0.0388342290637358
"2048 ms",4,0,0.0510482584599649,0.0639400617478947,0.0381564551720352
"2048 ms",5,0,0.014537648850844,0.0219839286762949,0.00709136902539316
"2048 ms",6,0,0.00244828062254692,0.00912249616598495,-0.00422593492089111
"2048 ms",7,0,-0.0208558201540626,-0.0133689131245352,-0.0283427271835901
"2048 ms",8,0,-0.060199660588524,-0.0472816743422293,-0.0731176468348187
"2048 ms",9,0,-0.084252349962401,-0.0706076170338224,-0.0978970828909796
"2048 ms",10,0,-0.0816905500003785,-0.0656005705374858,-0.0977805294632713
"2048 ms",11,0,-0.0353077846451753,-0.0206788410486717,-0.0499367282416789
"2048 ms",12,0,0.0210842303593563,0.0348467768063806,0.00732168391233205
"2048 ms",13,1,-0.00212983380854516,0.0135390490335763,-0.0177987166506666
"2048 ms",14,0,0.0396806670403264,0.0586645296790263,0.0206968044016265
"2048 ms",15,0,0.0541338093308155,0.0722969738032679,0.035970644858363
"2048 ms",16,0,0.0440173445732942,0.0601201579598891,0.0279145311866993
"2048 ms",17,0,0.0375568378551283,0.0492004997743822,0.0259131759358743
"2048 ms",18,0,0.00136177251692775,0.0113238682329078,-0.0086003231990523
"2048 ms",19,0,-0.0283827048153997,-0.0162555749521407,-0.0405098346786586
"2048 ms",20,0,-0.0427385354031168,-0.0294798288565229,-0.0559972419497107
"2048 ms",21,0,-0.060098350523777,-0.046215783476374,-0.07398091757118
"2048 ms",22,0,-0.0903317594443696,-0.0713296782317162,-0.109333840657023
"2048 ms",23,0,-0.0337893930116946,-0.0165392907698215,-0.0510394952535677
"2048 ms",24,0,0.0154038094696512,0.0316809038107333,-0.000873284871430879
"2048 ms",25,1,0.00884565012857104,0.0232844031779049,-0.0055931029207628
"2048 ms",26,0,0.0502072761818721,0.0694964266464039,0.0309181257173402
"2048 ms",27,0,0.0433787614074954,0.0643346625930589,0.0224228602219319
"2048 ms",28,0,0.0625465304824618,0.0777123813057557,0.0473806796591678
"2048 ms",29,0,0.0269373518131215,0.0408398857486713,0.0130348178775718
"2048 ms",30,0,0.0245370720656557,0.0372739379774747,0.0118002061538367
"2048 ms",31,0,-0.0165730656486153,-0.00319170076265925,-0.0299544305345714
"2048 ms",32,0,-0.0309484727730061,-0.0179476386428011,-0.0439493069032111
"2048 ms",33,0,-0.0702058157223579,-0.0513582174249175,-0.0890534140197983
"2048 ms",34,0,-0.0724411320639971,-0.0565959222899254,-0.0882863418380689
"2048 ms",35,0,-0.0320431396240298,-0.0136793703289957,-0.0504069089190639
"2048 ms",36,0,-0.0117440152453335,0.00391201778851072,-0.0274000482791778
"2048 ms",37,1,0.0179042875538686,0.0300570159802233,0.00575155912751391
"2048 ms",38,0,0.0309837987194306,0.0424603330645485,0.0195072643743127
"2048 ms",39,0,0.0531833661288794,0.067945049266644,0.0384216829911149
"2048 ms",40,0,0.0434673398506407,0.0537637348104376,0.0331709448908437
"2048 ms",41,0,0.0270086696581536,0.0356427595618087,0.0183745797544986
"2048 ms",42,0,0.010406365049088,0.0214877525480611,-0.000675022449885045
"2048 ms",43,0,-0.0241657793772482,-0.0156481717926576,-0.0326833869618389
"2048 ms",44,0,-0.0357805239501331,-0.0277942883917423,-0.0437667595085239
"2048 ms",45,0,-0.0428735185991107,-0.0268722459956874,-0.0588747912025341
"2048 ms",46,0,-0.0400897947345185,-0.0237415449827053,-0.0564380444863316
"2048 ms",47,0,-0.00160070808079734,0.0134308000672765,-0.0166322162288711
"2048 ms",48,0,0.000764300764354039,0.0138632620260586,-0.0123346604973505
"2048 ms",49,1,0.0263171412181324,0.0417963333740472,0.0108379490622175
"2048 ms",50,0,0.0842620878310191,0.102353614437561,0.0661705612244775
"2048 ms",51,0,0.0984371429911966,0.114792771913673,0.08208151406872
"2048 ms",52,0,0.053204908624153,0.0704346450370865,0.0359751722112194
"2048 ms",53,0,0.0353542459495254,0.0443748683711735,0.0263336235278773
"2048 ms",54,0,0.00599960383516759,0.0175690709172217,-0.00556986324688654
"2048 ms",55,0,-0.0196299163849424,-0.00683963192214002,-0.0324202008477447
"2048 ms",56,0,-0.0337949067915754,-0.0218537082205577,-0.045736105362593
"2048 ms",57,0,-0.0641018483701494,-0.0480652770517967,-0.0801384196885021
"2048 ms",58,0,-0.0624011919618443,-0.0445185594239637,-0.0802838244997248
"2048 ms",59,0,-0.0258714546254325,-0.00629759609415962,-0.0454453131567053
"2048 ms",60,0,0.014955962630776,0.0305250117239492,-0.000613086462397088
"2048 ms",61,1,0.0018793687062363,0.0155932935915421,-0.0118345561790695
"2048 ms",62,0,0.0484920656575523,0.0647987256004204,0.0321854057146842
"2048 ms",63,0,0.04362534256567,0.0586651616107782,0.0285855235205618
"2048 ms",64,0,0.0669479530978826,0.0784687872272748,0.0554271189684904
"2048 ms",65,0,0.0337270491163492,0.045026559839276,0.0224275383934224
"2048 ms",66,0,0.0265539370697621,0.0359427176858473,0.017165156453677
"2048 ms",67,0,0.00687768478875415,0.0180747329184255,-0.0043193633409172
"2048 ms",68,0,-0.0378261453557731,-0.0280538712017196,-0.0475984195098267
"2048 ms",69,0,-0.0440491118476984,-0.0281523841161739,-0.0599458395792229
"2048 ms",70,0,-0.0522366875492976,-0.0383368200187508,-0.0661365550798444
"2048 ms",71,0,-0.0252865064057296,-0.0121755348352597,-0.0383974779761994
"2048 ms",72,0,0.021068590961264,0.0351943259465276,0.0069428559760003
"2048 ms",73,1,0.027145879247775,0.0406834812384038,0.0136082772571461
"2048 ms",74,0,0.0377284893484135,0.0536506390442508,0.0218063396525763
"2048 ms",75,0,0.0507142438577467,0.0653553318646112,0.0360731558508821
"2048 ms",76,0,0.0277444117821014,0.0398861660166896,0.0156026575475133
