"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.512","backward",9,0.00592592592592592,0.766011500510004,0.299921013348267,35,0.05,0.0256842144825359,-0.013832362630684,0.786169697891846,"p = .77","p = .79",""
"2.048","backward",8,-0.0803703703703704,0.000987395055305571,-3.59568174907561,35,0.6,-0.0580184560523047,-0.102722284688436,0.00226520042099513,"p < .001","p = .002","*"
"2.048","backward",9,-0.204444444444444,1.04009030434327e-10,-9.06377233499686,35,1.51,-0.181888224265011,-0.227000664623878,6.76058697823128e-10,"p < .001","p < .001","*"
"2.048","backward",10,-0.318888888888889,1.15122121450863e-16,-14.8353175845923,35,2.47,-0.297393636962494,-0.340384140815284,2.08155386384186e-15,"p < .001","p < .001","*"
"2.048","backward",11,-0.269259259259259,1.11357719328448e-16,-14.8515875228515,35,2.48,-0.251129260776271,-0.287389257742247,2.08155386384186e-15,"p < .001","p < .001","*"
"2.048","backward",12,-0.160740740740741,1.93168830205776e-09,-8.02164671809751,35,1.34,-0.140702368771791,-0.18077911270969,8.37064930891697e-09,"p < .001","p < .001","*"
"2.048","backward",13,0.00296296296296296,0.886617492033096,0.143628654189478,35,0.02,0.0235922933683998,-0.0176663674424739,0.886617492033096,"p = .89","p = .89",""
"0.032","excluded",1,0.00333333333333333,0.869087963974753,0.166030992181957,35,0.03,0.0234099063244786,-0.0167432396578119,NA,"p = .87","p = NA",NA
"0.032","excluded",8,0.00851851851851852,0.691218776723702,0.400505195279906,35,0.07,0.0297879517716005,-0.0127509147345635,NA,"p = .69","p = NA",NA
"0.032","excluded",9,0.0396296296296296,0.0955449896017795,1.71307634586569,35,0.29,0.0627632335260765,0.0164960257331827,NA,"p = .10","p = NA",NA
"0.032","excluded",10,0.0111111111111111,0.584414491163496,0.552061460795802,35,0.09,0.0312376946532666,-0.0090154724310444,NA,"p = .58","p = NA",NA
"0.032","excluded",11,0.0166666666666667,0.399025099121551,0.853793989565168,35,0.14,0.0361873787709471,-0.00285404543761378,NA,"p = .40","p = NA",NA
"0.032","excluded",12,0.00814814814814815,0.645138758412846,0.464538672603207,35,0.08,0.0256884491579373,-0.00939215286164103,NA,"p = .65","p = NA",NA
"0.032","excluded",13,0.0251851851851852,0.195864867711755,1.31860508916714,35,0.22,0.044285054730731,0.00608531563963937,NA,"p = .20","p = NA",NA
"0.064","excluded",1,-0.0248148148148148,0.219524600014828,-1.25019024048995,35,0.21,-0.00496598380403206,-0.0446636458255976,NA,"p = .22","p = NA",NA
"0.064","excluded",8,0.0222222222222222,0.391031605863222,0.868510417224564,35,0.14,0.0478088148312506,-0.0033643703868062,NA,"p = .39","p = NA",NA
"0.064","excluded",9,0.0492592592592592,0.0282128429767234,2.28922783516496,35,0.38,0.0707771084233245,0.027741410095194,NA,"p = .03","p = NA",NA
"0.064","excluded",10,-0.00222222222222222,0.90735202313798,-0.117224813291374,35,0.02,0.0167347047271828,-0.0211791491716273,NA,"p = .91","p = NA",NA
"0.064","excluded",11,0.0244444444444444,0.302380351935891,1.04677166492954,35,0.17,0.0477966665798133,0.00109222230907557,NA,"p = .30","p = NA",NA
"0.064","excluded",12,0.0111111111111111,0.571882410940964,0.57065048839306,35,0.1,0.0305820680928527,-0.0083598458706305,NA,"p = .57","p = NA",NA
"0.064","excluded",13,0.0359259259259259,0.100365312966182,1.68768407358709,35,0.28,0.0572130414993799,0.014638810352472,NA,"p = .10","p = NA",NA
"0.128","excluded",1,-0.00148148148148148,0.94051413047553,-0.0751615697069338,35,0.01,0.0182291430738331,-0.0211921060367961,NA,"p = .94","p = NA",NA
"0.128","excluded",9,-0.00481481481481481,0.834459347170759,-0.210550129949026,35,0.04,0.0180529688145777,-0.0276825984442073,NA,"p = .83","p = NA",NA
"0.128","excluded",10,-0.00814814814814815,0.719816897515921,-0.361610761614429,35,0.06,0.0143847767896229,-0.0306810730859192,NA,"p = .72","p = NA",NA
"0.128","excluded",11,0.00740740740740741,0.735994124659215,0.339858687006118,35,0.06,0.0292029585897553,-0.0143881437749405,NA,"p = .74","p = NA",NA
"0.128","excluded",12,0.0285185185185185,0.150105248680229,1.47144674206988,35,0.25,0.0478997966192818,0.00913724041775524,NA,"p = .15","p = NA",NA
"0.128","excluded",13,0.0281481481481481,0.221070984220934,1.24591598944022,35,0.21,0.0507404805258672,0.00555581577042906,NA,"p = .22","p = NA",NA
"0.512","excluded",1,-0.01,0.641077797897186,-0.470272364082111,35,0.08,0.0112642731399244,-0.0312642731399244,NA,"p = .64","p = NA",NA
"0.512","excluded",10,0.0351851851851852,0.039904780487071,2.13424262073524,35,0.36,0.05167121392594,0.0186991564444303,NA,"p = .04","p = NA",NA
"0.512","excluded",11,-0.000740740740740741,0.970935646896089,-0.0366963211213408,35,0.01,0.0194449541220057,-0.0209264356034871,NA,"p = .97","p = NA",NA
"0.512","excluded",12,-0.00814814814814815,0.722023735202028,-0.358633310794103,35,0.06,0.0145718499750215,-0.0308681462713178,NA,"p = .72","p = NA",NA
"0.512","excluded",13,0.00481481481481481,0.792676556617442,0.264852666590202,35,0.04,0.0229940345176114,-0.0133644048879818,NA,"p = .79","p = NA",NA
"2.048","excluded",1,-0.00851851851851852,0.672514940867818,-0.42627900744664,35,0.07,0.0114649157339524,-0.0285019527709895,NA,"p = .67","p = NA",NA
"0.032","forward",2,0.0303703703703704,0.0745716777569344,1.83793946398494,35,0.31,0.0468945111081304,0.0138462296326103,0.100286049397257,"p = .07","p = .10",""
"0.032","forward",3,0.0637037037037037,0.00727356025105502,2.85033533548252,35,0.48,0.0860532507589871,0.0413541566484203,0.013508040466245,"p = .007","p = .01","*"
"0.032","forward",4,-0.0222222222222222,0.370356352991679,-0.90748521297303,35,0.15,0.00226547400085954,-0.046709918445304,0.437693871717439,"p = .37","p = .44",""
"0.064","forward",2,0.0133333333333333,0.484009544969242,0.707387546248708,35,0.12,0.0321820300682989,-0.00551536340163224,0.539324921537155,"p = .48","p = .54",""
"0.064","forward",3,0.0514814814814815,0.0413253108336027,2.11827387505913,35,0.35,0.0757849873159404,0.0271779756470225,0.0596921156485373,"p = .04","p = .06",""
"0.064","forward",4,-0.0074074074074074,0.765844050845728,-0.300142387020491,35,0.05,0.0172722370804659,-0.0320870518952807,0.786169697891846,"p = .77","p = .79",""
