"id","tITI","period_short","zone","mean_step"
"sub-28","2.048","fwd","late",0.266666666666667
"sub-28","2.048","bwd","early",0.433333333333333
"sub-28","2.048","bwd","late",-0.2
"sub-29","0.032","fwd","early",0.133333333333333
"sub-29","0.032","fwd","late",0.6
"sub-29","0.032","bwd","early",-0.733333333333333
"sub-29","0.032","bwd","late",-0.0666666666666667
"sub-29","0.064","fwd","early",-0.4
"sub-29","0.064","fwd","late",0.533333333333333
"sub-29","0.064","bwd","early",-0.666666666666667
"sub-29","0.064","bwd","late",-0.333333333333333
"sub-29","0.128","fwd","early",1.13333333333333
"sub-29","0.128","fwd","late",0.2
"sub-29","0.128","bwd","early",-0.133333333333333
"sub-29","0.128","bwd","late",-0.466666666666667
"sub-29","0.512","fwd","early",-0.4
"sub-29","0.512","fwd","late",0.4
"sub-29","0.512","bwd","early",-0.333333333333333
"sub-29","0.512","bwd","late",-0.8
"sub-29","2.048","fwd","early",-0.3
"sub-29","2.048","fwd","late",-0.1
"sub-29","2.048","bwd","early",0.166666666666667
"sub-29","2.048","bwd","late",-1
"sub-30","0.032","fwd","early",0.666666666666667
"sub-30","0.032","fwd","late",0.133333333333333
"sub-30","0.032","bwd","early",-1.33333333333333
"sub-30","0.032","bwd","late",-0.4
"sub-30","0.064","fwd","early",0
"sub-30","0.064","fwd","late",-0.533333333333333
"sub-30","0.064","bwd","early",-0.533333333333333
"sub-30","0.064","bwd","late",-0.0666666666666667
"sub-30","0.128","fwd","early",0.133333333333333
"sub-30","0.128","fwd","late",0.933333333333333
"sub-30","0.128","bwd","early",-0.8
"sub-30","0.128","bwd","late",-0.733333333333333
"sub-30","0.512","fwd","early",0.333333333333333
"sub-30","0.512","fwd","late",-0.333333333333333
"sub-30","0.512","bwd","early",-0.2
"sub-30","0.512","bwd","late",-0.0666666666666667
"sub-30","2.048","fwd","early",-0.3
"sub-30","2.048","fwd","late",0.0333333333333333
"sub-30","2.048","bwd","early",0.3
"sub-30","2.048","bwd","late",-0.866666666666667
"sub-32","0.032","fwd","early",-0.0666666666666667
"sub-32","0.032","fwd","late",0
"sub-32","0.032","bwd","early",-0.0666666666666667
"sub-32","0.032","bwd","late",-0.266666666666667
"sub-32","0.064","fwd","early",-0.266666666666667
"sub-32","0.064","fwd","late",0.133333333333333
"sub-32","0.064","bwd","early",-0.266666666666667
"sub-32","0.064","bwd","late",0.4
"sub-32","0.128","fwd","early",-0.466666666666667
"sub-32","0.128","fwd","late",0.266666666666667
"sub-32","0.128","bwd","early",0.0666666666666667
"sub-32","0.128","bwd","late",-0.133333333333333
"sub-32","0.512","fwd","early",-0.266666666666667
"sub-32","0.512","fwd","late",0.4
"sub-32","0.512","bwd","early",0.266666666666667
"sub-32","0.512","bwd","late",0.2
"sub-32","2.048","fwd","early",-0.366666666666667
"sub-32","2.048","fwd","late",0.366666666666667
"sub-32","2.048","bwd","early",0.5
"sub-32","2.048","bwd","late",-0.366666666666667
"sub-33","0.032","fwd","early",-0.6
"sub-33","0.032","fwd","late",0.2
