"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.064","excluded",11,0.0231481481481481,0.445425093905793,0.771779304437699,35,0.13,0.0531413703232534,-0.00684507402695715,NA,"p = .45","p = NA",NA
"0.064","excluded",12,0.00555555555555556,0.855262762202026,0.183759317407857,35,0.03,0.0357883384909911,-0.02467722737988,NA,"p = .86","p = NA",NA
"0.064","excluded",13,0.0412037037037037,0.11257643208043,1.62761745054747,35,0.27,0.066519052645093,0.0158883547623144,NA,"p = .11","p = NA",NA
"0.128","excluded",1,0.0148148148148148,0.526255663109711,0.640131697782424,35,0.11,0.0379582005683044,-0.00832857093867473,NA,"p = .53","p = NA",NA
"0.128","excluded",9,-0.00462962962962963,0.877267443578582,-0.155567847821764,35,0.03,0.0251299234814596,-0.0343891827407189,NA,"p = .88","p = NA",NA
"0.128","excluded",10,-0.0087962962962963,0.776770111996939,-0.285728823703069,35,0.05,0.0219891742848497,-0.0395817668774423,NA,"p = .78","p = NA",NA
"0.128","excluded",11,0.0273148148148148,0.351049222772076,0.945175124102558,35,0.16,0.0562140252555786,-0.00158439562594895,NA,"p = .35","p = NA",NA
"0.128","excluded",12,0.0277777777777778,0.338199360919968,0.971024166040415,35,0.16,0.0563844579709684,-0.000828902415412849,NA,"p = .34","p = NA",NA
"0.128","excluded",13,0.0430555555555556,0.130920333714573,1.54674421556942,35,0.26,0.0708918035415905,0.0152193075695206,NA,"p = .13","p = NA",NA
"0.512","excluded",1,-0.0402777777777778,0.188592972940657,-1.34089390227185,35,0.22,-0.0102397727502839,-0.0703157828052716,NA,"p = .19","p = NA",NA
"0.512","excluded",10,0.037962962962963,0.105770143638728,1.66039147917331,35,0.28,0.0608268257562509,0.015099100169675,NA,"p = .11","p = NA",NA
"0.512","excluded",11,0.00601851851851852,0.833928924621677,0.211235162193996,35,0.04,0.0345105482355746,-0.0224735111985376,NA,"p = .83","p = NA",NA
