"tITI","freq_bins_smooth","mean_spec","sem_upper","sem_lower"
"Rest Post S1",0.0783005617977528,1.74036287858531,1.79147487777993,1.68925087939068
"Rest Post S1",0.079002808988764,1.74092958304381,1.7934942280501,1.68836493803752
"Rest Post S1",0.0797050561797753,1.73481802416809,1.78678624442265,1.68284980391352
"Rest Post S1",0.0804073033707865,1.74574847826798,1.79746440243021,1.69403255410575
"Rest Post S1",0.0811095505617977,1.74289432651755,1.79450675138617,1.69128190164894
"Rest Post S1",0.081811797752809,1.72622250591395,1.78058466508019,1.67186034674771
"Rest Post S1",0.0825140449438202,1.70821986209027,1.76315752148115,1.65328220269938
"Rest Post S1",0.0832162921348315,1.71820940053905,1.77343434826024,1.66298445281786
"Rest Post S1",0.0839185393258427,1.71190835201196,1.76534905666941,1.65846764735451
"Rest Post S1",0.0846207865168539,1.68051532685909,1.72755254264154,1.63347811107663
"Rest Post S1",0.0853230337078651,1.66201333310531,1.70884147977471,1.61518518643592
"Rest Post S1",0.0860252808988764,1.62694217118552,1.6742866507807,1.57959769159034
"Rest Post S1",0.0867275280898876,1.60524840155856,1.64780974016396,1.56268706295315
"Rest Post S1",0.0874297752808989,1.58760881847624,1.63239730569111,1.54282033126136
"Rest Post S1",0.0881320224719101,1.58104598596916,1.62660114008541,1.5354908318529
"Rest Post S1",0.0888342696629214,1.56367770028148,1.60865268224109,1.51870271832187
"Rest Post S1",0.0895365168539326,1.56076781731328,1.60801326365267,1.51352237097389
"Rest Post S1",0.0902387640449438,1.53530026775375,1.57857657808875,1.49202395741875
"Rest Post S1",0.090941011235955,1.5297862382016,1.57115764438973,1.48841483201348
"Rest Post S1",0.0916432584269663,1.5378271816229,1.57965446699194,1.49599989625387
"Rest Post S1",0.0923455056179775,1.54737413408567,1.59272628833933,1.502021979832
"Rest Post S1",0.0930477528089888,1.54688716976286,1.59183528464695,1.50193905487877
"Rest Post S1",0.09375,1.54180335954219,1.58998880387598,1.49361791520839
"Rest Post S1",0.0944522471910112,1.5357534740921,1.5823640156839,1.48914293250031
"Rest Post S1",0.0951544943820225,1.53030879567858,1.57953498474013,1.48108260661704
"Rest Post S1",0.0958567415730337,1.52742464057552,1.57399011668097,1.48085916447008
